STON	STON	STON
2015	2015	2015
1	1	1
19	19	19
11	11	11
15	15	15
30	30	30
0.020	0.020	0.020
0.544936	1.292023	-0.311979
0.528074	1.262079	-0.336283
0.509230	1.292023	-0.332395
0.468563	1.285035	-0.335311
0.462612	1.286034	-0.336283
0.434840	1.281043	-0.346976
0.418970	1.279047	-0.347948
0.377312	1.295017	-0.360585
0.359459	1.250101	-0.391693
0.343589	1.273058	-0.378084
0.309866	1.254094	-0.397526
0.295979	1.261081	-0.402387
0.246387	1.241118	-0.424746
0.226549	1.231137	-0.420857
0.207704	1.235129	-0.451965
0.187867	1.212173	-0.478212
0.163071	1.222154	-0.482100
0.129347	1.190214	-0.524874
0.123396	1.192210	-0.516125
0.091657	1.169253	-0.540428
0.078762	1.163265	-0.541400
0.064877	1.159272	-0.578341
0.064877	1.150290	-0.594867
0.072811	1.153284	-0.572508
0.037104	1.128330	-0.624030
0.041072	1.129329	-0.625975
0.023218	1.096391	-0.643473
0.020243	1.084414	-0.672636
0.029169	1.057465	-0.699856
0.021235	1.047482	-0.729019
0.033136	1.033509	-0.711521
0.029169	0.993585	-0.746517
0.057933	0.984601	-0.772764
0.072811	0.950665	-0.794151
0.097608	0.945675	-0.829147
0.111493	0.918725	-0.838869
0.124388	0.907746	-0.864144
0.158111	0.890778	-0.886502
0.183899	0.864827	-0.916638
0.235476	0.858838	-0.923443
0.267216	0.827896	-0.937053
0.309866	0.821908	-0.974966
0.332678	0.801946	-0.992464
0.383263	0.792962	-1.005101
0.445750	0.793961	-1.023572
0.490384	0.771004	-1.033293
0.543944	0.773000	-1.050791
0.577667	0.761023	-1.067317
0.624285	0.757030	-1.076066
0.651065	0.756032	-1.095509
0.705618	0.730081	-1.096480
0.745292	0.730081	-1.103286
0.769096	0.700137	-1.109118
0.807779	0.694148	-1.096480
0.842494	0.666201	-1.109118
0.899030	0.658216	-1.108146
0.919859	0.656219	-1.098425
0.967468	0.625278	-1.115923
0.989289	0.640250	-1.110090
0.995240	0.603319	-1.097453
