STON	STON	STON
2015	2015	2015
2	2	2
11	11	11
21	21	21
19	19	19
0	0	0
0.020	0.020	0.020
-0.074059	-0.231746	0.479552
-0.072075	-0.242724	0.466914
-0.060172	-0.249712	0.445528
-0.043311	-0.244721	0.458165
-0.044303	-0.243723	0.461082
-0.045295	-0.247715	0.460110
-0.037359	-0.240728	0.438723
-0.022482	-0.243723	0.423169
-0.015538	-0.238732	0.433863
-0.027441	-0.237734	0.424141
-0.015538	-0.231746	0.414420
-0.007604	-0.234739	0.418308
-0.001653	-0.235738	0.404699
-0.005620	-0.225757	0.395949
0.005290	-0.221765	0.390117
0.021160	-0.213779	0.388173
0.021160	-0.224758	0.385257
0.020168	-0.208789	0.374563
0.024136	-0.202800	0.359009
0.033063	-0.216774	0.353176
0.032070	-0.225757	0.349288
0.026119	-0.226755	0.329845
0.031078	-0.215775	0.332762
0.040998	-0.219768	0.329845
0.039014	-0.229749	0.310403
0.034055	-0.236736	0.305543
0.026119	-0.238732	0.287072
0.040006	-0.240728	0.280268
0.034055	-0.252706	0.268602
0.037030	-0.263685	0.241383
0.030087	-0.270672	0.226801
0.033063	-0.274665	0.209303
0.036038	-0.293629	0.194721
0.024136	-0.315587	0.170418
0.013226	-0.319580	0.158752
0.012234	-0.329561	0.140283
0.024136	-0.337546	0.128616
0.012234	-0.340541	0.120840
0.030087	-0.335550	0.116951
0.033063	-0.358506	0.099453
0.039014	-0.375475	0.082927
0.040998	-0.376472	0.088759
0.037030	-0.389448	0.074178
0.038022	-0.388451	0.075150
0.043973	-0.388451	0.061541
0.042981	-0.386454	0.059596
0.035047	-0.400428	0.063485
0.050916	-0.389448	0.062512
0.057859	-0.391444	0.051819
0.058851	-0.407414	0.057652
0.055875	-0.407414	0.067373
0.064802	-0.407414	0.066401
0.077696	-0.395437	0.083899
0.070753	-0.411407	0.080010
0.066786	-0.410409	0.085843
0.064802	-0.405418	0.086816
0.066786	-0.399429	0.104314
0.064802	-0.391444	0.115979
0.053891	-0.386454	0.112091
0.065794	-0.377471	0.122784
0.069761	-0.380466	0.123756
0.059843	-0.371482	0.142226
0.048932	-0.365494	0.139310
0.041989	-0.367490	0.141254
0.039014	-0.359505	0.150003
0.025127	-0.340541	0.156808
0.027111	-0.314590	0.174306
0.021160	-0.311595	0.159724
0.021160	-0.305606	0.163613
0.010250	-0.305606	0.160697
-0.011571	-0.288638	0.166530
-0.011571	-0.274665	0.180140
-0.030416	-0.286642	0.182083
-0.037359	-0.272668	0.189860
-0.046287	-0.275662	0.189860
-0.052238	-0.263685	0.203470
-0.052238	-0.254703	0.197638
-0.060172	-0.255700	0.190832
-0.065131	-0.237734	0.201526
-0.065131	-0.230747	0.194721
-0.064139	-0.220766	0.210275
-0.081001	-0.219768	0.223885
-0.088936	-0.212781	0.208330
-0.090920	-0.203798	0.217080
-0.092904	-0.202800	0.221940
-0.084969	-0.192819	0.224856
-0.083977	-0.191820	0.234578
-0.088936	-0.188827	0.235550
-0.083977	-0.179843	0.239438
-0.076042	-0.175851	0.250132
-0.085960	-0.181839	0.258881
-0.093896	-0.174852	0.256937
-0.088936	-0.164871	0.255964
-0.082985	-0.165870	0.273462
-0.083977	-0.163874	0.284156
-0.091912	-0.167866	0.284156
-0.082985	-0.157885	0.305543
-0.072075	-0.154890	0.306515
-0.064139	-0.152894	0.318180
-0.079018	-0.151896	0.339567
-0.064139	-0.137922	0.345400
-0.055213	-0.130936	0.365814
-0.057197	-0.135926	0.372619
-0.036367	-0.120955	0.385257
-0.042319	-0.129937	0.403727
-0.036367	-0.130936	0.433863
-0.032400	-0.128939	0.462054
-0.023474	-0.120955	0.477608
-0.010579	-0.116961	0.496078
0.006282	-0.114965	0.515520
0.015209	-0.118958	0.537879
0.027111	-0.124947	0.541768
0.033063	-0.110972	0.567043
0.043973	-0.103986	0.596207
