STON	STON	STON
2015	2015	2015
3	3	3
14	14	14
2	2	2
38	38	38
30	30	30
0.020	0.020	0.020
0.416960	0.179032	0.300016
0.412001	0.163062	0.314599
0.421919	0.160068	0.343762
0.420927	0.149088	0.354456
0.422911	0.136113	0.348623
0.422911	0.135115	0.357372
0.413984	0.115152	0.344734
0.417952	0.118147	0.364177
0.406049	0.099182	0.362232
0.399106	0.097186	0.360289
0.388196	0.079220	0.349595
0.374310	0.066244	0.337930
0.357448	0.056263	0.313626
0.339595	0.042290	0.292240
0.319757	0.040293	0.315571
0.294961	0.022327	0.302933
0.273140	0.020330	0.308766
0.247352	-0.003624	0.307794
0.216604	-0.000629	0.313626
0.189824	-0.022589	0.285435
0.167011	-0.025582	0.272798
0.133287	-0.032570	0.262104
0.101548	-0.046543	0.236829
0.064850	-0.047542	0.226135
0.036085	-0.053530	0.213498
0.005338	-0.056524	0.225163
-0.029377	-0.066505	0.202805
-0.067068	-0.056524	0.216414
-0.100791	-0.064509	0.239745
-0.127571	-0.058520	0.237802
-0.165262	-0.057523	0.234885
-0.192042	-0.054528	0.225163
-0.221798	-0.052532	0.223219
-0.253537	-0.038558	0.228080
-0.279325	-0.032570	0.221275
-0.304122	-0.027579	0.196972
-0.333879	-0.015601	0.195028
-0.356691	-0.013605	0.181418
-0.381488	0.001367	0.159060
-0.400332	0.010349	0.165864
-0.421162	0.022327	0.175586
-0.436040	0.040293	0.186278
-0.450917	0.047280	0.168780
-0.460836	0.061254	0.163920
-0.469763	0.071235	0.157115
-0.474722	0.083212	0.163920
-0.481666	0.092196	0.173641
-0.487617	0.102177	0.162948
-0.482657	0.113156	0.183362
-0.491584	0.113156	0.206694
-0.480674	0.126131	0.215443
-0.483649	0.124135	0.209610
-0.476706	0.138109	0.220303
-0.474722	0.138109	0.227108
-0.470755	0.137111	0.230996
-0.464804	0.144097	0.241690
-0.460836	0.146094	0.242661
-0.449925	0.153081	0.251410
-0.441991	0.154078	0.251410
-0.432073	0.160068	0.260159
-0.425129	0.161066	0.273769
