STON	STON	STON
2014	2014	2014
1	1	1
27	27	27
0	0	0
12	12	12
15	15	15
0.020	0.020	0.020
-0.383443	-0.292879	0.074852
-0.401297	-0.297870	0.129291
-0.409231	-0.312841	0.127346
-0.410223	-0.334800	0.158454
-0.413198	-0.361749	0.172064
-0.420142	-0.382710	0.193450
-0.412207	-0.397681	0.228447
-0.405264	-0.420638	0.221642
-0.397329	-0.410657	0.265388
-0.369557	-0.450582	0.265388
-0.368566	-0.459565	0.317882
-0.346745	-0.480525	0.300384
-0.325915	-0.497494	0.342185
-0.299135	-0.502484	0.358710
-0.267395	-0.524443	0.357738
-0.227721	-0.516458	0.391763
-0.193006	-0.543406	0.387875
-0.154324	-0.545403	0.418010
-0.117624	-0.555385	0.420926
-0.071999	-0.584330	0.425787
-0.048195	-0.567362	0.432591
0.003383	-0.592315	0.415093
0.041073	-0.576344	0.470505
0.071820	-0.587324	0.447174
0.122405	-0.593313	0.484115
0.145218	-0.581335	0.481198
0.210681	-0.621261	0.457867
0.234486	-0.588323	0.492864
0.299949	-0.609282	0.445230
0.332680	-0.593313	0.518139
0.372355	-0.598304	0.455923
0.421947	-0.591317	0.496752
0.448728	-0.585328	0.458839
0.503280	-0.610281	0.460783
0.537003	-0.595309	0.476337
0.585604	-0.622258	0.427732
0.622303	-0.606289	0.485086
0.660985	-0.638228	0.424815
0.686773	-0.636232	0.466616
0.722481	-0.643219	0.408289
0.736366	-0.648210	0.419954
0.764138	-0.654199	0.383014
0.788935	-0.664180	0.372320
0.817699	-0.652202	0.377181
0.832577	-0.672165	0.334408
0.841504	-0.671166	0.355794
0.850430	-0.675159	0.293579
0.858365	-0.651204	0.329547
0.858365	-0.656195	0.289690
0.845471	-0.652202	0.290663
0.836544	-0.654199	0.280941
0.810756	-0.657192	0.238168
0.800838	-0.655196	0.241084
0.762155	-0.658191	0.202199
0.744302	-0.641223	0.204144
0.711570	-0.633238	0.185674
0.679831	-0.616270	0.167203
0.648091	-0.585328	0.174980
0.619328	-0.582334	0.144844
0.576677	-0.550394	0.142900
0.535019	-0.544405	0.098183
0.493361	-0.514462	0.104987
0.442776	-0.480525	0.087489
0.409053	-0.454575	0.087489
0.359460	-0.400676	0.091377
0.322762	-0.387700	0.067075
0.271184	-0.335798	0.089434
0.222583	-0.317832	0.027218
0.180925	-0.261937	0.069019
0.137283	-0.220016	0.025273
0.092649	-0.170110	0.059298
0.060910	-0.136174	0.039855
0.018260	-0.093255	0.026246
-0.009512	-0.031371	0.054437
-0.050179	-0.001428	0.018469
-0.085885	0.075428	0.074852
-0.122584	0.110362	0.029162
-0.164242	0.182226	0.067075
-0.201933	0.231134	0.063187
-0.227721	0.278046	0.068047
-0.245575	0.338931	0.082628
-0.275331	0.368875	0.068047
-0.290208	0.437745	0.107903
-0.314013	0.471682	0.073879
-0.327899	0.524582	0.116652
-0.343769	0.570496	0.131234
-0.353687	0.608424	0.140956
-0.366581	0.655335	0.154566
-0.378484	0.698255	0.174980
-0.368566	0.742172	0.188590
-0.371541	0.777106	0.197339
-0.365589	0.818029	0.220670
-0.363605	0.842982	0.229419
-0.368566	0.875920	0.258582
-0.351704	0.877916	0.253722
-0.356663	0.916843	0.288718
-0.342776	0.923830	0.273164
-0.342776	0.959763	0.316910
-0.325915	0.966749	0.330520
-0.306078	0.971740	0.348018
-0.299135	0.991702	0.356767
-0.281281	0.993698	0.382042
-0.264420	1.010666	0.382042
-0.246567	0.997691	0.407317
-0.231688	1.003679	0.439397
-0.208876	0.991702	0.438424
-0.189038	0.987710	0.460783
-0.168209	0.959763	0.436481
-0.149364	0.963755	0.475365
-0.139445	0.938802	0.456895
-0.116632	0.919837	0.495780
-0.097788	0.908858	0.493835
-0.085885	0.889894	0.508417
-0.065056	0.887897	0.525915
-0.056129	0.863943	0.520082
-0.033317	0.851965	0.540497
-0.022406	0.818029	0.535637
0.004375	0.785091	0.542441
0.013301	0.763132	0.530776
0.026196	0.728198	0.545358
0.041073	0.707238	0.539525
0.054959	0.670307	0.530776
0.057935	0.642360	0.540497
0.064878	0.598443	0.514250
0.072812	0.568499	0.524943
0.078764	0.542548	0.507445
0.088682	0.510608	0.529804
0.100585	0.474676	0.509389
0.100585	0.439741	0.510362
0.103560	0.400815	0.503556
0.122405	0.369873	0.476337
0.111495	0.347915	0.497724
0.128357	0.295014	0.453979
0.121413	0.291021	0.492864
0.123397	0.242114	0.455923
0.116454	0.232133	0.493835
0.118438	0.181229	0.458839
0.118438	0.167254	0.482170
0.127365	0.135315	0.471477
0.120421	0.116350	0.485086
0.124389	0.106369	0.498696
0.122405	0.079420	0.484115
0.122405	0.069439	0.508417
0.121413	0.028516	0.484115
0.124389	0.036501	0.527860
0.128357	-0.015401	0.494807
0.126373	-0.005420	0.552162
0.144226	-0.044347	0.538553
0.127365	-0.034366	0.575494
0.142242	-0.040355	0.573549
0.138275	-0.041352	0.617294
0.158113	-0.042351	0.615351
0.148193	-0.051333	0.642570
0.166047	-0.050336	0.663957
0.157121	-0.058320	0.675622
0.163072	-0.046343	0.725200
0.172990	-0.076286	0.714507
0.164063	-0.050336	0.767001
0.177950	-0.078283	0.732005
0.160096	-0.058320	0.778666
0.171998	-0.065308	0.777695
0.164063	-0.065308	0.803942
0.169023	-0.052332	0.819495
0.163072	-0.066305	0.836994
0.164063	-0.046343	0.863241
0.162080	-0.046343	0.858380
0.162080	-0.050336	0.878795
0.158113	-0.062313	0.873935
0.153153	-0.070298	0.877823
0.136292	-0.068302	0.884627
0.139267	-0.078283	0.872962
0.126373	-0.084271	0.872962
0.112487	-0.087266	0.859353
0.102569	-0.094253	0.858380
0.089674	-0.094253	0.835050
0.076780	-0.086267	0.827272
0.046032	-0.090261	0.812691
0.029171	-0.093255	0.783527
0.002391	-0.092257	0.764085
-0.015463	-0.107228	0.722283
-0.050179	-0.095251	0.694092
-0.071007	-0.095251	0.640626
-0.107706	-0.084271	0.622155
-0.143413	-0.080279	0.554107
-0.181104	-0.061315	0.541470
-0.205900	-0.069300	0.469532
-0.238631	-0.056324	0.445230
-0.268387	-0.056324	0.381069
-0.314013	-0.044347	0.334408
-0.352695	-0.036362	0.289690
-0.369557	-0.030374	0.216782
-0.415182	-0.009413	0.185674
-0.439979	-0.019394	0.102071
-0.479653	0.013544	0.078740
-0.506433	0.014543	0.000971
-0.542141	0.046482	-0.019444
-0.573880	0.051473	-0.067078
-0.598677	0.062452	-0.113740
-0.637359	0.075428	-0.154569
-0.664140	0.087405	-0.192481
-0.696871	0.114354	-0.238171
-0.723651	0.130324	-0.271223
-0.744480	0.148291	-0.297470
-0.762334	0.172245	-0.308164
-0.783162	0.176238	-0.337327
-0.808950	0.198196	-0.341216
-0.829780	0.223149	-0.363575
-0.848625	0.245108	-0.367463
-0.873422	0.270061	-0.351909
-0.901194	0.281040	-0.365519
-0.910121	0.308988	-0.338300
-0.931941	0.313978	-0.340243
-0.937893	0.341926	-0.329551
-0.953762	0.342924	-0.322745
-0.957729	0.353903	-0.300386
-0.958721	0.372868	-0.284833
-0.968639	0.383847	-0.253725
-0.963680	0.405806	-0.233311
-0.964672	0.416785	-0.204146
-0.956738	0.412792	-0.167206
-0.952770	0.414788	-0.126377
-0.937893	0.405806	-0.111795
-0.932933	0.414788	-0.064161
-0.902185	0.394826	-0.056385
-0.888300	0.383847	0.000971
-0.858543	0.374864	0.017496
-0.833747	0.371869	0.043744
-0.810934	0.356897	0.072907
-0.780187	0.338931	0.104987
-0.767293	0.318969	0.146789
-0.732577	0.290024	0.168175
-0.699846	0.291021	0.216782
-0.658188	0.251097	0.221642
-0.636367	0.256087	0.275108
-0.612562	0.213168	0.278025
-0.579831	0.199195	0.342185
-0.549084	0.173244	0.332463
-0.532222	0.145296	0.383014
-0.495523	0.118347	0.394679
-0.477670	0.068440	0.392735
-0.440970	0.040493	0.431620
-0.407248	0.001567	0.417038
-0.377492	-0.017398	0.452034
-0.346745	-0.046343	0.455923
-0.330874	-0.073293	0.463699
-0.303102	-0.099243	0.477309
-0.287232	-0.145157	0.479254
-0.250534	-0.172106	0.496752
-0.233672	-0.197060	0.492864
-0.201933	-0.226005	0.495780
-0.173169	-0.231994	0.491891
-0.143413	-0.278905	0.486058
-0.118616	-0.286890	0.493835
-0.099771	-0.323820	0.456895
-0.071007	-0.335798	0.485086
-0.056129	-0.346777	0.446201
-0.033317	-0.357757	0.462728
-0.018438	-0.368736	0.433564
-0.002569	-0.396684	0.430648
0.018260	-0.416646	0.429675
0.030163	-0.433614	0.407317
0.048016	-0.439603	0.396624
0.048016	-0.457568	0.369404
0.069837	-0.463557	0.373293
0.084715	-0.485516	0.341212
0.086699	-0.491505	0.347045
0.101577	-0.508472	0.313993
0.091658	-0.503482	0.312049
0.117446	-0.533425	0.279969
0.105544	-0.525441	0.284829
0.109511	-0.533425	0.250806
0.102569	-0.530432	0.251778
0.095625	-0.533425	0.218725
0.098600	-0.538416	0.219698
0.092649	-0.527437	0.205115
0.095625	-0.531429	0.190534
0.074796	-0.524443	0.186646
0.071820	-0.541410	0.140956
0.044048	-0.519452	0.156509
0.049999	-0.537418	0.100127
0.021235	-0.501486	0.141928
0.017268	-0.520451	0.086517
0.004375	-0.485516	0.120542
-0.010504	-0.506476	0.064158
-0.023398	-0.508472	0.079712
-0.048195	-0.496495	0.058326
-0.069023	-0.520451	0.032079
-0.085885	-0.484518	0.086517
-0.109690	-0.527437	0.006804
-0.134486	-0.491505	0.083601
-0.145396	-0.525441	0.014580
-0.167217	-0.511467	0.048604
-0.173169	-0.507475	0.020412
-0.198957	-0.512465	0.024302
-0.207884	-0.496495	0.039855
-0.239623	-0.516458	0.010692
-0.240615	-0.499490	0.049577
-0.271363	-0.503482	0.026246
-0.275331	-0.507475	0.041800
-0.289216	-0.504480	0.040828
-0.315004	-0.502484	0.046660
-0.329883	-0.497494	0.063187
-0.344761	-0.496495	0.079712
-0.359638	-0.488510	0.083601
-0.372533	-0.477531	0.107903
-0.377492	-0.481524	0.109848
-0.414190	-0.455572	0.153593
-0.411215	-0.453576	0.150677
-0.448906	-0.426627	0.192478
-0.457832	-0.428623	0.204144
-0.477670	-0.405666	0.221642
-0.482629	-0.383708	0.254694
-0.484612	-0.383708	0.269276
-0.494532	-0.351768	0.308161
-0.499491	-0.347775	0.331491
-0.507425	-0.329809	0.362599
-0.514368	-0.314837	0.377181
-0.517344	-0.301862	0.402456
-0.522304	-0.266928	0.423842
-0.518336	-0.239979	0.462728
-0.510401	-0.226005	0.481198
-0.517344	-0.192069	0.515222
-0.491556	-0.183085	0.515222
-0.494532	-0.147153	0.546329
-0.481637	-0.133180	0.553135
-0.465767	-0.117209	0.581326
-0.457832	-0.096249	0.592992
-0.444939	-0.097247	0.599796
-0.438987	-0.074290	0.620211
-0.435019	-0.066305	0.619239
-0.432044	-0.055326	0.649375
-0.423118	-0.043348	0.664928
-0.416174	-0.033367	0.676594
-0.406256	-0.031371	0.693120
-0.393362	-0.026381	0.697981
-0.389394	-0.027379	0.694092
-0.379476	-0.024384	0.713534
-0.368566	-0.025382	0.711591
-0.366581	-0.029375	0.724228
-0.356663	-0.029375	0.724228
-0.340793	-0.039356	0.726172
-0.340793	-0.035364	0.744642
-0.324924	-0.041352	0.731032
-0.324924	-0.034366	0.741726
-0.309053	-0.040355	0.730061
-0.298143	-0.044347	0.744642
-0.274339	-0.042351	0.745615
-0.252518	-0.060317	0.716451
-0.243590	-0.058320	0.722283
-0.216810	-0.082275	0.696036
-0.198957	-0.088264	0.701869
-0.179120	-0.100242	0.663957
-0.169201	-0.107228	0.682426
-0.151348	-0.125195	0.659096
-0.141429	-0.140166	0.651319
-0.114649	-0.150147	0.645486
-0.109690	-0.180091	0.616323
-0.094811	-0.191071	0.610490
-0.079934	-0.219018	0.578410
-0.077950	-0.230995	0.596880
-0.069023	-0.257944	0.568688
-0.054146	-0.284894	0.570633
-0.054146	-0.298867	0.549246
-0.047202	-0.332804	0.539525
-0.046210	-0.339790	0.527860
-0.052162	-0.353765	0.512305
-0.044227	-0.365742	0.510362
-0.050179	-0.370732	0.504529
-0.052162	-0.397681	0.495780
-0.066048	-0.409658	0.482170
-0.070015	-0.419640	0.471477
-0.073983	-0.431618	0.442313
-0.092828	-0.434612	0.441341
-0.098780	-0.457568	0.426759
-0.108698	-0.460563	0.425787
-0.127543	-0.461561	0.423842
-0.131511	-0.463557	0.418010
