STON	STON	STON
2015	2015	2015
2	2	2
2	2	2
2	2	2
13	13	13
0	0	0
0.020	0.020	0.020
-0.304227	-0.301153	-0.494434
-0.308194	-0.295164	-0.499294
-0.318112	-0.301153	-0.528459
-0.318112	-0.297161	-0.529430
-0.323071	-0.300155	-0.544985
-0.319104	-0.294167	-0.549845
-0.315137	-0.298159	-0.559566
-0.321088	-0.292171	-0.572204
-0.322080	-0.287180	-0.568316
-0.317121	-0.291172	-0.567343
-0.318112	-0.278196	-0.562483
-0.317121	-0.281191	-0.566371
-0.313153	-0.276200	-0.563455
-0.311170	-0.269214	-0.556650
-0.307202	-0.268215	-0.556650
-0.297283	-0.258234	-0.544012
-0.293316	-0.255239	-0.539151
-0.284389	-0.243262	-0.526514
-0.280422	-0.242264	-0.505128
-0.276455	-0.225296	-0.492490
-0.265544	-0.217311	-0.472075
-0.260585	-0.212320	-0.456521
-0.247690	-0.200343	-0.443884
-0.238764	-0.186369	-0.426386
-0.232813	-0.175390	-0.412776
-0.217935	-0.165409	-0.390417
-0.207025	-0.147443	-0.366115
-0.199089	-0.140456	-0.357366
-0.184212	-0.124486	-0.337923
-0.178261	-0.116501	-0.322369
-0.166358	-0.111510	-0.310703
-0.162391	-0.103525	-0.293205
-0.156440	-0.092546	-0.266958
-0.147512	-0.097537	-0.238767
-0.148504	-0.086557	-0.220296
-0.147512	-0.075578	-0.195021
-0.144537	-0.070587	-0.167802
-0.144537	-0.058610	-0.149331
-0.158423	-0.056614	-0.134749
-0.159415	-0.049627	-0.114335
-0.167350	-0.045634	-0.088088
-0.177269	-0.040644	-0.080311
-0.182228	-0.044637	-0.067674
-0.194130	-0.040644	-0.037538
-0.210000	-0.039646	-0.019068
-0.221902	-0.043638	-0.001569
-0.225869	-0.026670	0.031483
-0.252650	-0.026670	0.056758
-0.260585	-0.023676	0.078145
-0.269511	-0.012696	0.106337
-0.299267	-0.010700	0.118974
-0.295300	0.002275	0.155914
-0.309186	0.003273	0.172441
-0.323071	0.020242	0.206465
-0.329023	0.025232	0.235628
-0.341917	0.035213	0.247293
-0.339933	0.052181	0.285206
-0.353820	0.064158	0.303677
-0.354812	0.086118	0.334785
-0.354812	0.109075	0.361032
-0.359771	0.127040	0.384362
-0.355803	0.146005	0.409637
-0.354812	0.170958	0.431025
-0.356795	0.177944	0.441717
-0.348860	0.196909	0.466992
-0.341917	0.214875	0.480602
-0.333982	0.225854	0.484490
-0.319104	0.237832	0.501017
-0.304227	0.247813	0.513655
-0.284389	0.256796	0.516571
-0.266536	0.264781	0.514627
-0.252650	0.276758	0.520459
-0.234797	0.277757	0.516571
-0.213967	0.280751	0.516571
-0.193138	0.284743	0.521431
-0.170325	0.285742	0.527265
-0.143545	0.279753	0.525320
-0.116765	0.273764	0.514627
-0.094944	0.272766	0.511710
-0.064197	0.269772	0.505877
-0.041384	0.273764	0.492268
-0.016587	0.268773	0.484490
0.007217	0.268773	0.471853
0.030030	0.264781	0.463104
0.055819	0.267776	0.450467
0.076648	0.261786	0.440745
0.094501	0.262785	0.436857
0.122273	0.258792	0.423247
0.144094	0.254800	0.409637
0.160955	0.260789	0.394084
0.182776	0.253801	0.381446
0.195671	0.253801	0.362976
0.215508	0.252804	0.346450
0.226418	0.252804	0.342562
0.246256	0.241824	0.326035
0.255182	0.244819	0.313397
0.269069	0.244819	0.300760
0.279979	0.237832	0.295899
0.283946	0.242823	0.299788
0.299816	0.242823	0.297844
0.308743	0.239828	0.292011
0.311718	0.245816	0.290067
0.314693	0.240826	0.297844
0.318662	0.238830	0.297844
0.322629	0.235835	0.300760
0.325604	0.237832	0.302705
0.323621	0.229847	0.294928
0.331555	0.227851	0.295899
0.328580	0.225854	0.305621
0.332547	0.211881	0.307565
0.334531	0.209885	0.314370
0.332547	0.199903	0.313397
0.333539	0.190920	0.321175
0.338498	0.179941	0.327979
