STON	STON	STON
2015	2015	2015
5	5	5
15	15	15
0	0	0
49	49	49
30	30	30
0.020	0.020	0.020
-0.005277	0.036924	-0.554235
-0.023130	0.034927	-0.563955
-0.025114	0.037922	-0.565900
-0.043960	0.045907	-0.559095
-0.062804	0.071858	-0.552290
-0.068756	0.066868	-0.544514
-0.075699	0.065869	-0.558123
-0.083633	0.077847	-0.554235
-0.097520	0.092819	-0.545485
-0.091569	0.101802	-0.539653
-0.090577	0.103798	-0.548402
-0.102479	0.099806	-0.549374
-0.096528	0.113779	-0.538681
-0.097520	0.130748	-0.544514
-0.090577	0.121764	-0.553263
-0.078674	0.111783	-0.556179
-0.081650	0.109787	-0.557151
-0.075699	0.125757	-0.554235
-0.066772	0.124759	-0.555206
-0.056853	0.119768	-0.565900
-0.051894	0.109787	-0.562012
-0.051894	0.115775	-0.563955
-0.041976	0.112782	-0.555206
-0.032057	0.098807	-0.551318
-0.029081	0.082838	-0.548402
-0.021147	0.071858	-0.526043
-0.012219	0.067865	-0.528959
0.003650	0.069862	-0.525071
0.006625	0.060879	-0.512433
0.013569	0.052894	-0.503684
0.023487	0.042912	-0.492019
0.031422	0.032931	-0.483270
0.039357	0.023949	-0.476465
0.052251	0.008977	-0.462855
0.055226	0.006981	-0.459939
0.062170	-0.004997	-0.447301
0.069113	-0.017973	-0.423970
0.069113	-0.033942	-0.423970
0.079031	-0.036937	-0.414249
0.074072	-0.039931	-0.392862
0.087958	-0.049912	-0.383142
0.084983	-0.063886	-0.398695
0.089942	-0.068876	-0.387030
0.079031	-0.066880	-0.374393
0.075064	-0.055902	-0.359811
0.073080	-0.076861	-0.360783
0.068121	-0.090836	-0.366615
0.052251	-0.078858	-0.355922
0.028446	-0.051908	-0.329675
0.024479	-0.058895	-0.324814
0.017536	-0.062888	-0.325787
0.013569	-0.062888	-0.302456
-0.014203	-0.054903	-0.291762
-0.022139	-0.031946	-0.263571
-0.020155	-0.058895	-0.275236
-0.025114	-0.050911	-0.262598
-0.054870	-0.013980	-0.228575
-0.067764	-0.006993	-0.206216
-0.063796	-0.025957	-0.198439
-0.056853	-0.017973	-0.182884
-0.066772	-0.006993	-0.174135
-0.082642	0.013968	-0.151777
-0.081650	0.003986	-0.143027
-0.083633	-0.005995	-0.133307
-0.072723	0.015964	-0.100254
-0.084625	0.040916	-0.103170
-0.073715	0.020954	-0.085672
-0.051894	-0.003001	-0.099282
-0.045943	0.021953	-0.074980
-0.039991	0.028939	-0.063313
-0.038008	0.015964	-0.062342
-0.017179	0.004984	-0.044844
0.003650	0.007978	-0.034150
0.001666	0.022950	-0.028317
