STON	STON	STON
2014	2014	2014
11	11	11
25	25	25
3	3	3
14	14	14
0	0	0
0.020	0.020	0.020
-0.226885	0.161240	0.475554
-0.226885	0.155251	0.480414
-0.221926	0.138283	0.482359
-0.218949	0.136286	0.494996
-0.218949	0.151258	0.494996
-0.218949	0.142275	0.492080
-0.222918	0.129299	0.500829
-0.219941	0.120317	0.500829
-0.220934	0.118320	0.489163
-0.215974	0.111333	0.482359
-0.218949	0.094365	0.480414
-0.214982	0.089375	0.502773
-0.210023	0.092369	0.514439
-0.202088	0.108338	0.509578
-0.187210	0.112331	0.496941
-0.177292	0.110335	0.496941
-0.165389	0.102350	0.477498
-0.158446	0.102350	0.470694
-0.159438	0.119318	0.475554
-0.163405	0.119318	0.477498
-0.152495	0.110335	0.473610
-0.137617	0.096361	0.460972
-0.114804	0.089375	0.450279
-0.105878	0.074403	0.424031
-0.094967	0.082388	0.417227
-0.091991	0.077397	0.408478
-0.092983	0.076399	0.399729
-0.083065	0.090373	0.394868
-0.075130	0.088376	0.397784
-0.072154	0.076399	0.390007
-0.076122	0.074403	0.376398
-0.073147	0.065419	0.381258
-0.063228	0.064422	0.380286
-0.057277	0.070410	0.373482
-0.063228	0.053442	0.358899
-0.059260	0.051446	0.344317
-0.056285	0.031484	0.333625
-0.058269	0.034478	0.338485
-0.053309	0.029488	0.342374
-0.062236	0.017509	0.344317
-0.065211	0.005532	0.341401
-0.062236	0.000542	0.331680
-0.071162	0.015513	0.331680
-0.068187	0.014516	0.321959
-0.066203	0.023499	0.318070
-0.064219	0.030485	0.322931
-0.068187	0.035476	0.316126
-0.064219	0.050447	0.321959
-0.065211	0.038470	0.308350
-0.067195	0.029488	0.311266
-0.074139	0.024497	0.320987
-0.075130	0.024497	0.312238
-0.085049	0.039469	0.309321
-0.097943	0.042463	0.281130
-0.097943	0.048451	0.274325
-0.118772	0.033480	0.275297
-0.118772	0.044459	0.291823
-0.114804	0.039469	0.312238
-0.101911	0.046455	0.313210
-0.098935	0.065419	0.317099
-0.105878	0.075400	0.310293
-0.113812	0.085382	0.316126
-0.126707	0.085382	0.334597
-0.128691	0.111333	0.335568
-0.132658	0.119318	0.324875
-0.131666	0.132294	0.322931
-0.129683	0.158245	0.346262
-0.128691	0.165232	0.351123
-0.115796	0.179205	0.359872
-0.122740	0.196174	0.362788
-0.124723	0.214140	0.359872
-0.129683	0.240090	0.387091
-0.130674	0.261051	0.406533
-0.118772	0.260053	0.425004
-0.115796	0.257059	0.425004
-0.107862	0.265043	0.434725
-0.110837	0.276023	0.441529
-0.113812	0.314950	0.454167
-0.125715	0.325929	0.457084
-0.118772	0.334912	0.467777
-0.114804	0.345891	0.484303
-0.117780	0.354875	0.490136
-0.116788	0.371842	0.500829
-0.116788	0.372841	0.511522
-0.115796	0.354875	0.507634
-0.108853	0.357869	0.501801
-0.111829	0.362860	0.508606
-0.101911	0.369846	0.511522
-0.086040	0.388810	0.523188
-0.079098	0.389809	0.519300
-0.066203	0.382822	0.527077
-0.060252	0.376833	0.522216
-0.047358	0.383820	0.529020
-0.044382	0.394799	0.530965
-0.028513	0.415760	0.528049
-0.014627	0.404780	0.525132
-0.001733	0.408773	0.525132
0.006203	0.393801	0.511522
0.022072	0.385817	0.503745
0.031991	0.384818	0.493052
0.040917	0.368848	0.479443
0.045877	0.365854	0.493052
0.050837	0.364856	0.482359
0.063730	0.354875	0.485275
0.078609	0.329922	0.474582
0.100430	0.331918	0.470694
0.109356	0.319941	0.452223
0.108364	0.342897	0.441529
0.107372	0.353876	0.443474
0.109356	0.342897	0.445418
0.104397	0.315948	0.436669
0.119274	0.298980	0.424031
0.124234	0.292991	0.415282
0.136136	0.293989	0.398756
0.138120	0.288000	0.408478
0.140103	0.270034	0.401672
0.151014	0.270034	0.400701
0.150023	0.245081	0.382231
0.149031	0.239093	0.370565
0.146054	0.233104	0.359872
0.150023	0.233104	0.365705
0.158949	0.225119	0.368621
