STON	STON	STON
2015	2015	2015
3	3	3
16	16	16
0	0	0
45	45	45
15	15	15
0.020	0.020	0.020
-0.084590	0.224363	-0.099302
-0.096493	0.228356	-0.077916
-0.111370	0.220371	-0.071111
-0.117322	0.238338	-0.052641
-0.136167	0.233347	-0.041947
-0.142118	0.235343	-0.031254
-0.151045	0.239335	-0.015700
-0.169890	0.237339	-0.016672
-0.173858	0.246323	0.001798
-0.193695	0.241332	0.007631
-0.196671	0.250315	0.017352
-0.212540	0.249316	0.025129
-0.219483	0.256304	0.029989
-0.234361	0.252311	0.039711
-0.243288	0.255305	0.041655
-0.244280	0.260296	0.043599
-0.255190	0.258300	0.052348
-0.254198	0.258300	0.060125
-0.259157	0.257301	0.057209
-0.268085	0.258300	0.066930
-0.266101	0.252311	0.065958
-0.267093	0.249316	0.076652
-0.268085	0.245324	0.068874
-0.263124	0.244326	0.068874
-0.265109	0.241332	0.072762
-0.255190	0.233347	0.074707
-0.252214	0.229354	0.083456
-0.247255	0.224363	0.079568
-0.243288	0.218375	0.089289
-0.238328	0.206397	0.090261
-0.228410	0.200409	0.092205
-0.222459	0.194420	0.092205
-0.218492	0.180447	0.094150
-0.199646	0.180447	0.094150
-0.202621	0.165475	0.086372
-0.191711	0.162480	0.084429
-0.178817	0.151501	0.086372
-0.179809	0.135530	0.090261
-0.166915	0.128544	0.092205
-0.162947	0.125549	0.089289
-0.148069	0.123553	0.099010
-0.140134	0.105587	0.099010
-0.137158	0.107584	0.109703
-0.134183	0.098600	0.114564
-0.116330	0.093610	0.119425
-0.108395	0.087621	0.125257
-0.098476	0.083629	0.124286
-0.091534	0.077640	0.134007
-0.081614	0.071651	0.134007
-0.072688	0.066661	0.154421
-0.069713	0.061670	0.158310
-0.058802	0.066661	0.163170
-0.050867	0.054683	0.167059
-0.036981	0.053685	0.168031
-0.038964	0.046699	0.169975
-0.031030	0.045700	0.170947
-0.024087	0.040709	0.171919
-0.019128	0.033723	0.169003
-0.020120	0.039711	0.174835
-0.010201	0.032724	0.172892
-0.016151	0.032724	0.173863
