STON	STON	STON
2014	2014	2014
10	10	10
17	17	17
0	0	0
32	32	32
15	15	15
0.020	0.020	0.020
-0.283210	0.172232	-0.250815
-0.268332	0.180217	-0.240122
-0.257421	0.197185	-0.239150
-0.247503	0.210160	-0.240122
-0.227666	0.222137	-0.242066
-0.214772	0.236112	-0.240122
-0.192951	0.247090	-0.232345
-0.177081	0.255075	-0.237206
-0.153276	0.261065	-0.233317
-0.135423	0.271046	-0.225540
-0.122529	0.277034	-0.220679
-0.094757	0.286017	-0.211930
-0.083846	0.295000	-0.204153
-0.059050	0.303984	-0.204153
-0.040205	0.301988	-0.194432
-0.019376	0.313965	-0.183739
0.002445	0.322948	-0.178879
0.020299	0.322948	-0.174990
0.040136	0.331931	-0.171102
0.061957	0.331931	-0.166241
0.081794	0.346903	-0.157492
0.102623	0.348899	-0.142910
0.124444	0.350895	-0.138049
0.144281	0.360876	-0.129300
0.172053	0.364869	-0.132216
0.186932	0.365867	-0.126384
0.209744	0.365867	-0.122496
0.230573	0.373852	-0.117635
0.256361	0.370857	-0.113747
0.276198	0.369860	-0.119579
0.300003	0.368861	-0.113747
0.320832	0.370857	-0.123467
0.336702	0.369860	-0.113747
0.362491	0.364869	-0.115690
0.378360	0.362872	-0.120551
0.395222	0.360876	-0.120551
0.413075	0.351893	-0.120551
0.427953	0.342910	-0.123467
0.440847	0.336922	-0.129300
0.458701	0.329934	-0.139022
0.468619	0.313965	-0.149714
0.477546	0.303984	-0.153604
0.483498	0.295999	-0.160408
0.488457	0.280028	-0.164296
0.493416	0.273042	-0.166241
0.498375	0.260066	-0.175962
0.495399	0.244096	-0.178879
0.497383	0.230123	-0.186655
0.495399	0.222137	-0.201237
0.495399	0.204171	-0.196377
0.490440	0.189199	-0.211930
0.485481	0.175226	-0.215819
0.475562	0.159256	-0.228456
0.468619	0.142288	-0.231373
0.467628	0.125319	-0.233317
0.454733	0.110348	-0.241094
0.447790	0.093380	-0.250815
0.434896	0.073418	-0.256648
0.428945	0.059444	-0.262481
0.413075	0.039481	-0.271230
0.393238	0.017523	-0.275118
0.378360	0.003550	-0.272202
0.363482	-0.005434	-0.270258
0.343645	-0.021403	-0.269285
0.336702	-0.035378	-0.269285
0.307939	-0.043363	-0.269285
0.293060	-0.059332	-0.272202
0.269256	-0.061329	-0.271230
0.256361	-0.073306	-0.260536
0.236525	-0.076301	-0.261509
0.214704	-0.084286	-0.250815
0.201809	-0.086282	-0.248871
0.175029	-0.085283	-0.227485
0.159159	-0.085283	-0.234289
0.142298	-0.100255	-0.219707
0.125436	-0.082289	-0.203181
0.097664	-0.087279	-0.197349
0.094688	-0.076301	-0.178879
0.069892	-0.074305	-0.170129
0.060966	-0.079295	-0.163324
0.030217	-0.048353	-0.132216
0.030217	-0.057336	-0.140965
0.008396	-0.020406	-0.117635
0.001453	-0.042364	-0.109858
-0.015409	-0.005434	-0.086527
-0.036237	0.002551	-0.059308
-0.029294	0.016525	-0.076806
-0.063018	0.041478	-0.035005
-0.049131	0.023512	-0.038893
-0.065993	0.073418	0.005824
-0.065993	0.067429	-0.012646
-0.080871	0.095376	0.021379
-0.085830	0.088389	0.025267
-0.086822	0.104360	0.035960
-0.094757	0.129313	0.060264
-0.087814	0.134303	0.062207
-0.089798	0.151271	0.097204
-0.086822	0.146280	0.094287
-0.088806	0.167241	0.121507
-0.081862	0.161252	0.110813
-0.083846	0.178221	0.138033
-0.076903	0.173229	0.140949
-0.069961	0.174228	0.164280
-0.066985	0.186205	0.167196
-0.056074	0.188202	0.168168
-0.052107	0.195189	0.177890
-0.041197	0.189199	0.181778
-0.035245	0.196186	0.195388
-0.032269	0.194190	0.196360
-0.018384	0.195189	0.209970
-0.015409	0.187203	0.199276
-0.004498	0.195189	0.205109
-0.001522	0.196186	0.219691
0.005421	0.187203	0.211914
0.014348	0.190198	0.215802
0.019307	0.184209	0.221635
0.021291	0.190198	0.225524
0.023274	0.188202	0.230384
0.030217	0.183211	0.228440
0.028234	0.193192	0.238161
0.036168	0.187203	0.237189
0.034184	0.188202	0.249826
0.031209	0.197185	0.239133
0.032201	0.196186	0.238161
0.026250	0.197185	0.243994
0.030217	0.202175	0.243022
0.026250	0.203174	0.245938
0.023274	0.205170	0.241077
0.021291	0.211158	0.243994
0.011372	0.208164	0.244966
0.006413	0.213155	0.250799
0.004429	0.215151	0.249826
-0.000530	0.212156	0.248855
-0.011440	0.205170	0.243022
-0.018384	0.207166	0.248855
-0.027310	0.205170	0.247883
-0.033261	0.201177	0.248855
-0.041197	0.203174	0.250799
-0.050123	0.194190	0.251771
-0.060041	0.196186	0.251771
-0.068969	0.195189	0.243994
-0.077895	0.190198	0.247883
-0.090790	0.188202	0.247883
-0.096741	0.186205	0.248855
-0.109634	0.191195	0.256632
-0.111619	0.186205	0.253716
-0.122529	0.196186	0.251771
-0.128480	0.191195	0.245938
-0.128480	0.194190	0.246910
-0.142366	0.205170	0.255659
-0.141375	0.201177	0.241077
-0.149309	0.214152	0.249826
-0.146334	0.210160	0.242049
-0.154268	0.220141	0.244966
-0.150301	0.223136	0.245938
-0.149309	0.231121	0.242049
-0.152285	0.231121	0.238161
-0.140383	0.235113	0.231357
-0.139391	0.239105	0.236217
-0.129472	0.237109	0.219691
-0.125504	0.246093	0.216775
-0.114594	0.245094	0.208998
-0.109634	0.251083	0.204137
-0.102692	0.248089	0.195388
-0.095749	0.254077	0.188583
-0.088806	0.247090	0.179834
-0.074920	0.243098	0.172057
-0.070952	0.245094	0.162335
-0.059050	0.244096	0.155531
-0.047148	0.235113	0.141921
-0.035245	0.229124	0.133172
-0.022351	0.233117	0.126368
-0.015409	0.216148	0.110813
-0.000530	0.210160	0.102064
0.014348	0.205170	0.097204
0.026250	0.197185	0.076789
0.038153	0.192194	0.069013
0.052038	0.180217	0.058319
0.063941	0.176224	0.040821
0.073859	0.165245	0.035960
0.084769	0.157260	0.019434
0.095680	0.154265	0.020407
0.106590	0.141290	0.000964
0.111550	0.136299	-0.007785
0.126428	0.127316	-0.015562
0.133370	0.123323	-0.025284
0.145273	0.109350	-0.035976
0.155191	0.104360	-0.045698
0.167094	0.097373	-0.058335
0.177012	0.086393	-0.074862
0.179988	0.075414	-0.079722
0.191891	0.069426	-0.080694
0.197842	0.062438	-0.085555
0.206768	0.050461	-0.100137
0.210736	0.048465	-0.093331
0.220654	0.036488	-0.098192
0.227597	0.034491	-0.104998
0.234541	0.024509	-0.114718
0.242476	0.018521	-0.116663
0.243467	0.007542	-0.116663
0.253386	0.003550	-0.120551
0.254377	-0.009426	-0.119579
0.259337	-0.016413	-0.122496
0.259337	-0.020406	-0.117635
0.258346	-0.037374	-0.122496
0.264297	-0.047355	-0.120551
0.260329	-0.054341	-0.118607
0.261321	-0.061329	-0.112774
0.253386	-0.077298	-0.098192
0.253386	-0.086282	-0.101109
0.243467	-0.098259	-0.092360
0.233549	-0.111235	-0.089443
0.226605	-0.122214	-0.084582
0.217679	-0.123212	-0.074862
0.213712	-0.132195	-0.078750
0.199825	-0.138184	-0.066113
0.193874	-0.154154	-0.061252
0.176021	-0.152158	-0.051531
0.168086	-0.158146	-0.045698
0.154200	-0.163136	-0.044725
0.137339	-0.163136	-0.041809
0.127419	-0.165133	-0.042782
0.112542	-0.162139	-0.028200
0.099648	-0.158146	-0.025284
0.084769	-0.153155	-0.019451
0.070884	-0.157148	-0.007785
0.052038	-0.150162	-0.007785
0.042120	-0.152158	-0.002925
0.029225	-0.147167	0.000964
0.011372	-0.148165	0.006797
-0.003506	-0.142177	0.013601
-0.016400	-0.137186	0.015546
-0.031278	-0.126206	0.020407
-0.045164	-0.127205	0.025267
-0.062025	-0.121216	0.031099
-0.075912	-0.120217	0.040821
-0.087814	-0.116225	0.051514
-0.100708	-0.114229	0.054430
-0.117570	-0.111235	0.063180
-0.131455	-0.113231	0.062207
-0.145342	-0.107243	0.075817
-0.157244	-0.101254	0.078733
-0.164187	-0.111235	0.079705
-0.183032	-0.104248	0.090399
-0.189976	-0.103250	0.086511
-0.199894	-0.108240	0.091371
-0.208820	-0.109239	0.080678
-0.219731	-0.105246	0.078733
-0.227666	-0.108240	0.077762
-0.233617	-0.097260	0.078733
-0.238577	-0.104248	0.079705
-0.242544	-0.099257	0.077762
-0.250479	-0.097260	0.075817
-0.251471	-0.090274	0.071929
-0.256430	-0.093268	0.065124
-0.259406	-0.086282	0.060264
-0.262382	-0.084286	0.060264
-0.260398	-0.090274	0.055403
-0.258413	-0.081291	0.057347
-0.258413	-0.090274	0.044709
-0.258413	-0.087279	0.042765
-0.253454	-0.089276	0.038877
-0.250479	-0.084286	0.034016
-0.248495	-0.083287	0.035960
-0.237585	-0.087279	0.037905
-0.230641	-0.083287	0.034016
-0.222707	-0.081291	0.032072
-0.219731	-0.080293	0.037905
-0.208820	-0.079295	0.035960
-0.198902	-0.080293	0.035960
-0.195927	-0.078297	0.030128
-0.184024	-0.084286	0.027211
-0.177081	-0.074305	0.030128
-0.166171	-0.076301	0.033044
-0.156252	-0.073306	0.030128
-0.150301	-0.075302	0.026239
-0.136415	-0.072308	0.030128
-0.131455	-0.067317	0.032072
-0.124513	-0.075302	0.029156
-0.116578	-0.065321	0.041793
-0.109634	-0.071310	0.033044
-0.103683	-0.065321	0.035960
-0.098724	-0.069314	0.043737
-0.091782	-0.066319	0.038877
-0.088806	-0.062326	0.039848
-0.080871	-0.059332	0.034988
-0.079879	-0.054341	0.041793
-0.073928	-0.055340	0.039848
-0.071944	-0.040368	0.049570
-0.064010	-0.043363	0.049570
-0.060041	-0.035378	0.055403
-0.056074	-0.028391	0.057347
-0.049131	-0.023400	0.061235
-0.049131	-0.020406	0.063180
-0.040205	-0.015415	0.059291
-0.036237	-0.003438	0.064152
-0.030286	-0.000443	0.056375
-0.026319	0.016525	0.063180
-0.020368	0.020517	0.059291
-0.013425	0.035489	0.059291
-0.011440	0.040480	0.052486
-0.002514	0.051459	0.052486
0.000462	0.062438	0.047626
0.008396	0.071422	0.043737
0.015340	0.083399	0.044709
0.017323	0.084397	0.044709
0.027242	0.102364	0.046654
0.036168	0.100367	0.032072
0.035176	0.113342	0.038877
0.041128	0.118333	0.039848
0.048071	0.118333	0.039848
0.050055	0.131309	0.044709
0.057989	0.129313	0.044709
0.060966	0.141290	0.053458
0.065925	0.135301	0.050542
0.063941	0.143286	0.052486
0.069892	0.145283	0.057347
0.079810	0.135301	0.052486
0.080802	0.145283	0.058319
0.080802	0.137298	0.059291
0.084769	0.139294	0.053458
0.091713	0.133305	0.065124
0.089729	0.132307	0.069984
0.094688	0.135301	0.062207
0.094688	0.130310	0.060264
0.097664	0.126318	0.058319
0.102623	0.123323	0.061235
0.101631	0.118333	0.073873
0.107582	0.112345	0.065124
0.108574	0.105357	0.066096
0.110559	0.101365	0.072901
0.103615	0.096375	0.069984
0.109566	0.086393	0.077762
0.111550	0.079407	0.071929
0.106590	0.067429	0.073873
0.108574	0.057447	0.069013
0.101631	0.047466	0.071929
0.102623	0.037485	0.074845
0.097664	0.027504	0.073873
0.095680	0.016525	0.081650
0.086754	0.006543	0.088454
0.083777	-0.007430	0.085538
0.079810	-0.024398	0.092343
0.065925	-0.034379	0.093315
0.063941	-0.052345	0.088454
0.056005	-0.060330	0.097204
0.055014	-0.072308	0.103037
0.039145	-0.084286	0.111786
0.030217	-0.100255	0.106925
0.026250	-0.107243	0.112758
0.007404	-0.116225	0.113729
-0.000530	-0.131197	0.122478
-0.012432	-0.137186	0.116646
-0.027310	-0.152158	0.121507
-0.040205	-0.160143	0.126368
-0.050123	-0.170124	0.118590
-0.068969	-0.177111	0.125395
-0.078887	-0.187092	0.119562
-0.096741	-0.190086	0.122478
-0.111619	-0.204060	0.115674
-0.123521	-0.207054	0.119562
-0.140383	-0.208053	0.124423
-0.150301	-0.216037	0.126368
-0.165179	-0.222026	0.117619
-0.179065	-0.225020	0.118590
-0.193943	-0.221027	0.112758
-0.201878	-0.232007	0.112758
-0.212789	-0.236000	0.104009
-0.221715	-0.236998	0.098176
-0.232625	-0.237996	0.099148
-0.238577	-0.234003	0.095260
-0.243536	-0.234003	0.099148
-0.249487	-0.236000	0.091371
-0.254446	-0.237996	0.099148
-0.257421	-0.243984	0.091371
-0.262382	-0.240991	0.094287
-0.264365	-0.244983	0.087482
-0.266349	-0.248975	0.087482
-0.266349	-0.246979	0.086511
-0.258413	-0.245981	0.083594
-0.266349	-0.245981	0.084566
-0.257421	-0.245981	0.085538
-0.260398	-0.247977	0.088454
-0.251471	-0.241988	0.086511
-0.251471	-0.250972	0.090399
-0.246511	-0.247977	0.092343
-0.237585	-0.246979	0.100121
-0.234610	-0.249973	0.104980
-0.226674	-0.243984	0.108870
-0.224690	-0.253965	0.102064
-0.217748	-0.242987	0.113729
-0.208820	-0.244983	0.106925
-0.199894	-0.243984	0.106925
-0.201878	-0.243984	0.122478
-0.189976	-0.249973	0.121507
-0.187000	-0.240991	0.125395
-0.179065	-0.244983	0.132200
-0.175097	-0.242987	0.136088
-0.172122	-0.241988	0.135117
-0.168155	-0.243984	0.141921
-0.170138	-0.236998	0.143866
-0.162204	-0.239992	0.141921
-0.162204	-0.227016	0.150670
-0.161212	-0.228015	0.154559
-0.160219	-0.227016	0.150670
-0.157244	-0.221027	0.163308
-0.157244	-0.216037	0.158447
-0.158236	-0.214041	0.165252
-0.154268	-0.217035	0.166224
-0.157244	-0.206056	0.180806
-0.163196	-0.213043	0.176918
-0.162204	-0.202064	0.178862
-0.167163	-0.198071	0.199276
-0.166171	-0.194078	0.192472
-0.173114	-0.184097	0.209970
-0.174106	-0.177111	0.216775
-0.172122	-0.170124	0.221635
-0.178073	-0.167130	0.227468
-0.182040	-0.154154	0.237189
-0.186008	-0.149163	0.244966
-0.187000	-0.137186	0.252743
-0.191959	-0.127205	0.262465
-0.195927	-0.124210	0.268297
-0.192951	-0.109239	0.270241
-0.196918	-0.102251	0.280934
-0.200886	-0.096263	0.282879
-0.197910	-0.082289	0.285795
-0.198902	-0.076301	0.292600
-0.196918	-0.069314	0.292600
-0.204853	-0.059332	0.306210
-0.202869	-0.055340	0.308154
-0.200886	-0.042364	0.320791
-0.203861	-0.036376	0.318847
-0.199894	-0.033381	0.313014
-0.201878	-0.027392	0.320791
-0.195927	-0.020406	0.312042
-0.196918	-0.008429	0.325652
-0.188984	-0.014417	0.321763
-0.185016	-0.006432	0.323708
-0.179065	-0.008429	0.321763
-0.171130	-0.002439	0.307181
-0.173114	0.002551	0.305238
-0.163196	-0.000443	0.292600
-0.159227	0.004547	0.291628
-0.147326	-0.009426	0.269269
-0.145342	-0.006432	0.260520
-0.135423	-0.014417	0.246910
-0.130464	-0.020406	0.238161
-0.123521	-0.021403	0.224551
-0.116578	-0.030387	0.209970
-0.114594	-0.031385	0.202192
-0.096741	-0.046357	0.175945
-0.094757	-0.047355	0.168168
-0.091782	-0.052345	0.151643
-0.084838	-0.065321	0.138033
-0.079879	-0.066319	0.128311
-0.074920	-0.082289	0.107897
-0.069961	-0.093268	0.100121
-0.070952	-0.096263	0.087482
-0.066985	-0.101254	0.074845
-0.063018	-0.103250	0.070956
-0.055082	-0.116225	0.047626
-0.058058	-0.119220	0.043737
-0.057066	-0.128202	0.034016
-0.050123	-0.141178	0.025267
-0.051115	-0.141178	0.011657
-0.048140	-0.150162	0.007769
-0.046156	-0.157148	0.003881
-0.041197	-0.169126	-0.006813
-0.042189	-0.179107	-0.012646
-0.038221	-0.184097	-0.021395
-0.033261	-0.190086	-0.020423
-0.027310	-0.201065	-0.026256
-0.025327	-0.205058	-0.027227
-0.017392	-0.211046	-0.034033
-0.012432	-0.222026	-0.035976
-0.007473	-0.232007	-0.042782
-0.003506	-0.234003	-0.038893
0.008396	-0.245981	-0.046670
0.019307	-0.251969	-0.047642
0.023274	-0.255962	-0.053474
0.034184	-0.269936	-0.056391
0.043112	-0.266941	-0.059308
0.056997	-0.280915	-0.075833
0.056997	-0.276922	-0.069029
0.072867	-0.292892	-0.081666
0.079810	-0.294888	-0.075833
0.084769	-0.298882	-0.086527
0.094688	-0.306867	-0.087499
0.097664	-0.306867	-0.086527
0.111550	-0.316848	-0.095276
0.108574	-0.308863	-0.092360
0.116509	-0.323834	-0.104998
0.116509	-0.317845	-0.099165
0.114526	-0.318844	-0.105969
0.120477	-0.317845	-0.108886
0.117501	-0.314851	-0.103053
0.119485	-0.314851	-0.108886
0.116509	-0.311857	-0.110830
0.119485	-0.316848	-0.112774
0.115518	-0.307864	-0.107914
0.114526	-0.309860	-0.105969
0.109566	-0.308863	-0.109858
0.105598	-0.299879	-0.099165
0.104607	-0.302874	-0.099165
0.098656	-0.296885	-0.098192
0.094688	-0.294888	-0.103053
0.086754	-0.285906	-0.096249
0.081794	-0.276922	-0.101109
0.069892	-0.280915	-0.105969
0.065925	-0.269936	-0.089443
0.059973	-0.266941	-0.095276
0.051046	-0.265944	-0.084582
0.045095	-0.261950	-0.084582
0.036168	-0.265944	-0.083611
0.020299	-0.264945	-0.077778
0.012364	-0.260953	-0.063196
0.003437	-0.259954	-0.065141
-0.002514	-0.254964	-0.061252
-0.015409	-0.255962	-0.050558
-0.025327	-0.252968	-0.051531
-0.034253	-0.267940	-0.036949
-0.046156	-0.258956	-0.031116
-0.053099	-0.261950	-0.019451
-0.063018	-0.269936	-0.012646
-0.067977	-0.261950	0.002908
-0.080871	-0.273929	0.012630
-0.085830	-0.271932	0.024295
-0.097733	-0.275925	0.033044
-0.100708	-0.273929	0.046654
-0.106659	-0.279917	0.057347
-0.111619	-0.282911	0.070956
-0.117570	-0.282911	0.086511
-0.127488	-0.286903	0.103037
-0.134431	-0.287902	0.118590
-0.136415	-0.287902	0.121507
-0.138399	-0.291894	0.139005
-0.144350	-0.291894	0.141921
-0.149309	-0.300878	0.157475
-0.154268	-0.304870	0.170113
-0.155260	-0.310859	0.174002
-0.158236	-0.310859	0.184694
-0.155260	-0.310859	0.189555
-0.155260	-0.319841	0.198304
-0.157244	-0.316848	0.201221
-0.159227	-0.326829	0.200249
-0.150301	-0.324832	0.208025
-0.145342	-0.332817	0.206081
-0.143358	-0.332817	0.215802
-0.142366	-0.342798	0.215802
-0.133439	-0.346791	0.209970
-0.137407	-0.347789	0.211914
-0.123521	-0.359767	0.205109
-0.118562	-0.358768	0.203165
-0.111619	-0.360765	0.195388
-0.096741	-0.367751	0.191500
-0.099716	-0.371744	0.181778
-0.085830	-0.374739	0.179834
-0.087814	-0.382723	0.174002
-0.074920	-0.387714	0.167196
-0.073928	-0.398693	0.159419
-0.064010	-0.400689	0.154559
-0.060041	-0.411669	0.156503
-0.062025	-0.412667	0.152615
-0.053099	-0.414663	0.152615
-0.056074	-0.427639	0.144837
-0.053099	-0.426641	0.148726
-0.048140	-0.426641	0.145810
-0.053099	-0.426641	0.143866
-0.051115	-0.430634	0.145810
-0.043180	-0.425643	0.144837
-0.047148	-0.421650	0.149698
-0.045164	-0.421650	0.145810
-0.045164	-0.411669	0.145810
-0.044172	-0.409673	0.142894
-0.047148	-0.398693	0.145810
-0.037229	-0.385717	0.157475
-0.040205	-0.379729	0.153586
-0.037229	-0.366754	0.155531
-0.036237	-0.356772	0.157475
-0.039213	-0.341801	0.160392
-0.026319	-0.325830	0.164280
-0.028302	-0.309860	0.168168
-0.025327	-0.299879	0.173029
-0.015409	-0.284907	0.166224
-0.011440	-0.272930	0.170113
-0.010448	-0.263947	0.170113
-0.000530	-0.245981	0.170113
0.006413	-0.234003	0.167196
0.014348	-0.223024	0.161364
0.018315	-0.206056	0.156503
0.029225	-0.197073	0.153586
0.032201	-0.181103	0.148726
0.038153	-0.170124	0.138033
0.045095	-0.158146	0.140949
0.050055	-0.148165	0.127339
0.063941	-0.143174	0.124423
0.057989	-0.131197	0.118590
0.072867	-0.121216	0.104980
0.079810	-0.112233	0.100121
0.079810	-0.111235	0.087482
0.090721	-0.102251	0.084566
0.091713	-0.097260	0.071929
0.094688	-0.096263	0.062207
0.099648	-0.087279	0.056375
0.097664	-0.078297	0.046654
0.100639	-0.076301	0.044709
0.107582	-0.069314	0.034988
0.100639	-0.065321	0.029156
0.108574	-0.059332	0.019434
0.112542	-0.047355	0.016518
0.110559	-0.049351	0.010685
0.115518	-0.043363	-0.000980
0.113534	-0.037374	0.000964
0.108574	-0.034379	-0.004869
0.110559	-0.028391	-0.015562
0.116509	-0.022402	-0.012646
0.113534	-0.019407	-0.019451
0.115518	-0.016413	-0.024311
0.113534	-0.017411	-0.024311
0.120477	-0.011422	-0.033060
0.118493	-0.002439	-0.034033
0.119485	-0.004436	-0.039865
0.120477	0.003550	-0.037921
0.120477	0.002551	-0.047642
0.124444	0.003550	-0.045698
0.127419	0.008540	-0.049586
0.128411	0.005546	-0.051531
0.122460	0.015527	-0.056391
0.132379	0.013531	-0.058335
0.129403	0.015527	-0.061252
0.129403	0.017523	-0.064168
0.130395	0.018521	-0.058335
0.130395	0.020517	-0.064168
0.134362	0.015527	-0.065141
0.131387	0.015527	-0.072917
0.137339	0.011534	-0.070973
0.133370	0.006543	-0.072917
0.133370	0.003550	-0.070001
0.140314	0.007542	-0.070973
0.134362	-0.004436	-0.075833
0.138330	-0.001441	-0.077778
0.140314	-0.005434	-0.071945
0.141306	-0.014417	-0.074862
0.143290	-0.012421	-0.069029
0.144281	-0.018410	-0.064168
0.150232	-0.020406	-0.070001
0.156183	-0.027392	-0.061252
0.154200	-0.026395	-0.063196
0.156183	-0.037374	-0.056391
0.161143	-0.039370	-0.051531
0.160151	-0.041367	-0.040837
0.163127	-0.044360	-0.036949
0.168086	-0.040368	-0.034033
0.169078	-0.049351	-0.032088
0.167094	-0.048353	-0.031116
0.167094	-0.053344	-0.024311
0.165111	-0.057336	-0.022367
0.166102	-0.064323	-0.017507
0.168086	-0.067317	-0.019451
0.166102	-0.071310	-0.013618
0.163127	-0.082289	-0.006813
0.167094	-0.081291	-0.000009
0.161143	-0.088278	0.001936
0.153208	-0.097260	0.006797
0.159159	-0.100255	0.011657
0.150232	-0.106244	0.015546
0.143290	-0.115227	0.023323
0.144281	-0.120217	0.027211
0.135355	-0.125208	0.032072
0.132379	-0.133193	0.030128
0.124444	-0.142177	0.044709
0.118493	-0.146169	0.049570
0.105598	-0.152158	0.051514
0.104607	-0.164135	0.060264
0.093697	-0.173118	0.062207
0.082786	-0.183099	0.066096
0.078818	-0.196074	0.066096
0.064933	-0.207054	0.077762
0.060966	-0.218034	0.086511
0.044104	-0.227016	0.086511
0.041128	-0.241988	0.094287
0.030217	-0.250972	0.098176
0.017323	-0.261950	0.105953
-0.001522	-0.276922	0.117619
-0.012432	-0.285906	0.113729
-0.025327	-0.296885	0.119562
-0.043180	-0.307864	0.130256
-0.058058	-0.322836	0.133172
-0.073928	-0.331820	0.139005
-0.089798	-0.349786	0.151643
-0.107651	-0.359767	0.149698
-0.120545	-0.371744	0.153586
-0.141375	-0.379729	0.159419
-0.155260	-0.386716	0.161364
-0.171130	-0.403684	0.165252
-0.184024	-0.401688	0.165252
-0.200886	-0.411669	0.176918
-0.218740	-0.415661	0.172057
-0.236593	-0.414663	0.177890
-0.248495	-0.418655	0.179834
-0.268332	-0.420651	0.190527
-0.280234	-0.420651	0.191500
-0.296104	-0.419654	0.194416
-0.307014	-0.417658	0.197332
-0.313958	-0.420651	0.194416
-0.330819	-0.424644	0.200249
-0.337763	-0.424644	0.187611
-0.352640	-0.419654	0.196360
-0.357599	-0.419654	0.195388
-0.368510	-0.417658	0.196360
-0.372478	-0.410670	0.189555
-0.382397	-0.408674	0.182751
-0.388348	-0.402686	0.180806
-0.391323	-0.398693	0.178862
-0.400249	-0.379729	0.174973
-0.398266	-0.382723	0.168168
-0.404217	-0.371744	0.167196
-0.404217	-0.359767	0.158447
-0.406200	-0.353778	0.157475
-0.405209	-0.333816	0.157475
-0.392315	-0.332817	0.144837
-0.397274	-0.313853	0.135117
-0.394299	-0.301875	0.133172
-0.383389	-0.289898	0.120535
-0.382397	-0.277921	0.109841
-0.375453	-0.262949	0.094287
-0.364543	-0.248975	0.090399
-0.352640	-0.234003	0.081650
-0.348673	-0.220030	0.073873
-0.338755	-0.205058	0.064152
-0.325860	-0.195077	0.054430
-0.320901	-0.184097	0.050542
-0.309991	-0.167130	0.041793
-0.294121	-0.157148	0.039848
-0.283210	-0.148165	0.027211
-0.279243	-0.134192	0.020407
-0.266349	-0.114229	0.016518
-0.253454	-0.119220	0.006797
-0.248495	-0.096263	-0.009729
-0.232625	-0.091272	-0.018478
-0.219731	-0.083287	-0.027227
-0.210805	-0.069314	-0.035976
-0.193943	-0.066319	-0.044725
-0.185016	-0.056338	-0.041809
-0.168155	-0.056338	-0.047642
-0.149309	-0.039370	-0.056391
-0.141375	-0.039370	-0.058335
-0.123521	-0.031385	-0.066113
-0.104675	-0.018410	-0.072917
-0.089798	-0.018410	-0.078750
-0.073928	-0.004436	-0.076806
-0.052107	-0.004436	-0.085555
-0.033261	-0.000443	-0.087499
-0.019376	-0.005434	-0.091388
0.003437	-0.004436	-0.092360
0.020299	0.000555	-0.091388
0.044104	-0.006432	-0.099165
