STON	STON	STON
2015	2015	2015
4	4	4
21	21	21
2	2	2
2	2	2
15	15	15
0.020	0.020	0.020
0.275591	0.172207	0.169477
0.227982	0.199156	0.168505
0.256745	0.230098	0.178226
0.269640	0.196161	0.132536
0.207152	0.186180	0.101428
0.212111	0.210135	0.125731
0.281542	0.181190	0.116011
0.236908	0.131284	0.061571
0.197234	0.167216	0.084903
0.265673	0.198157	0.116011
0.258729	0.136274	0.096568
0.190291	0.150248	0.084903
0.208144	0.204146	0.108233
0.228973	0.166218	0.123787
0.175413	0.131284	0.111150
0.169462	0.163223	0.141285
0.205169	0.169212	0.149062
0.162519	0.121303	0.141285
0.124828	0.121303	0.152951
0.147641	0.135276	0.186975
0.136730	0.116312	0.166560
0.092097	0.120304	0.130592
0.103999	0.159231	0.143229
0.113917	0.144259	0.109205
0.075235	0.112319	0.058655
0.052423	0.123299	0.033381
0.072260	0.147253	0.037269
0.085154	0.127291	0.018798
0.070276	0.106331	0.000328
0.071268	0.141265	0.007133
0.080194	0.142262	0.015882
0.083170	0.089362	0.026575
0.038536	0.056424	0.007133
0.011756	0.104334	0.006161
0.018700	0.107328	0.026575
-0.014032	0.077385	0.036297
-0.037837	0.100342	0.056711
-0.018000	0.120304	0.077126
-0.007089	0.104334	0.105317
-0.015024	0.098346	0.084903
-0.001138	0.119306	0.051850
0.041512	0.091359	0.032408
0.031593	0.033467	-0.000644
0.007789	0.021490	-0.013282
0.039528	0.014503	-0.017170
0.041512	-0.036401	-0.010365
0.002830	-0.060355	-0.018143
-0.009073	-0.038397	-0.014254
0.031593	-0.047380	-0.021059
0.019691	-0.076325	-0.029808
-0.017008	-0.041391	-0.027864
0.012748	0.009513	-0.032724
0.015723	0.015502	-0.032724
-0.011057	0.038458	-0.031752
0.010764	0.073393	-0.005505
0.043496	0.058421	0.011022
0.035561	0.037460	0.014910
0.034569	0.040455	0.044073
0.086145	0.047441	0.082958
0.107966	0.011509	0.092679
0.097056	0.013505	0.101428
0.113917	0.026481	0.136425
0.113917	0.002526	0.144201
0.081186	0.004522	0.141285
0.064324	0.030474	0.153923
0.074244	0.052432	0.173366
0.066309	0.047441	0.182115
0.066309	0.073393	0.194752
0.082178	0.080379	0.206417
0.102015	0.081377	0.201557
0.107966	0.093355	0.182115
0.120861	0.103336	0.139341
0.137722	0.136274	0.112122
0.140698	0.152244	0.084903
0.155576	0.147253	0.085875
0.164503	0.144259	0.089763
0.177397	0.146255	0.097540
0.184340	0.132281	0.106289
0.186323	0.131284	0.111150
0.201201	0.133280	0.141285
0.216080	0.121303	0.150035
0.221039	0.131284	0.158784
0.226990	0.154241	0.170449
0.252778	0.167216	0.189892
0.230957	0.154241	0.197668
0.222031	0.175200	0.186975
0.242860	0.196161	0.224888
0.241868	0.152244	0.252107
0.222031	0.151246	0.258912
0.211120	0.163223	0.267661
0.236908	0.152244	0.277382
0.203185	0.107328	0.278355
0.182356	0.103336	0.258912
0.188307	0.098346	0.266689
0.183348	0.051434	0.254051
0.173429	0.065408	0.250163
0.188307	0.076386	0.239470
0.214096	0.087366	0.220027
0.188307	0.072394	0.197668
0.178389	0.090361	0.200584
0.205169	0.078383	0.211278
0.197234	0.042451	0.164617
0.163510	0.069400	0.144201
0.192275	0.109324	0.144201
0.195251	0.116312	0.127676
0.157559	0.108327	0.076154
0.150617	0.134278	0.083930
0.142682	0.120304	0.081014
0.099040	0.095351	0.056711
0.091105	0.113317	0.071293
0.075235	0.110323	0.064487
0.055398	0.098346	0.082958
0.052423	0.083374	0.085875
0.022667	0.074390	0.101428
0.003821	0.099343	0.127676
0.029610	0.114315	0.103373
0.015723	0.125295	0.068377
-0.017008	0.160229	0.088791
0.026634	0.193167	0.083930
0.024651	0.171208	0.035324
-0.021967	0.193167	0.065460
0.009772	0.212132	0.104344
0.038536	0.184184	0.064487
-0.037837	0.186180	0.062544
-0.016016	0.247066	0.116982
0.046472	0.227103	0.071293
-0.006097	0.192169	0.046989
-0.019983	0.252056	0.118927
0.047463	0.231095	0.098512
0.021675	0.173204	0.032408
-0.036845	0.179193	0.065460
0.014731	0.203148	0.092679
0.016715	0.132281	0.021714
-0.046763	0.127291	0.009077
-0.045772	0.141265	0.055738
-0.032878	0.079381	0.002273
-0.077511	0.054428	-0.053139
-0.085446	0.069400	-0.016198
-0.052714	0.081377	-0.028835
-0.081478	0.083374	-0.078414
-0.086438	0.124296	-0.046334
-0.043788	0.150248	-0.023003
-0.037837	0.145257	-0.061888
-0.036845	0.152244	-0.061888
0.000846	0.138270	-0.022031
0.032585	0.119306	-0.025919
0.029610	0.118308	-0.038557
0.064324	0.119306	-0.009394
0.104991	0.122300	0.001300
0.102015	0.124296	-0.028835
0.106975	0.136274	-0.018143
