STON	STON	STON
2014	2014	2014
8	8	8
3	3	3
13	13	13
47	47	47
15	15	15
0.020	0.020	0.020
-0.016664	0.134851	-0.583214
0.031938	0.132855	-0.565716
0.021027	0.086942	-0.556967
-0.020631	0.101913	-0.577381
0.030946	0.131857	-0.569604
0.044832	0.092931	-0.533636
-0.006745	0.085944	-0.540441
0.004166	0.125869	-0.564744
0.050783	0.099917	-0.552106
0.023011	0.067978	-0.543357
-0.003769	0.108901	-0.543357
0.042848	0.131857	-0.526831
0.026978	0.068975	-0.517110
-0.004761	0.096923	-0.532664
0.011108	0.120878	-0.537524
0.043840	0.076961	-0.510305
-0.007737	0.073966	-0.513222
-0.008729	0.114889	-0.528775
0.042848	0.084946	-0.520026
-0.000794	0.045021	-0.517110
-0.016664	0.091932	-0.521971
0.022019	0.108901	-0.515165
0.011108	0.051009	-0.494751
-0.036501	0.056000	-0.522943
0.003174	0.100916	-0.528775
0.021027	0.057997	-0.491835
-0.026582	0.053006	-0.490863
-0.020631	0.088938	-0.507389
0.022019	0.071970	-0.495724
-0.001786	0.030049	-0.480169
-0.028566	0.071970	-0.500584
0.004166	0.071970	-0.485030
0.005157	0.031047	-0.470448
-0.009720	0.054004	-0.483086
0.001190	0.074965	-0.472392
0.009125	0.041028	-0.449061
-0.000794	0.045021	-0.438368
-0.017655	0.076961	-0.440312
-0.011704	0.055002	-0.419898
0.003174	0.052008	-0.405316
-0.003769	0.061989	-0.416982
-0.016664	0.068975	-0.402400
-0.015672	0.069974	-0.370319
-0.012696	0.065982	-0.379068
-0.015672	0.074965	-0.379068
-0.025590	0.073966	-0.363515
-0.020631	0.087940	-0.338240
-0.016664	0.085944	-0.348933
-0.026582	0.089936	-0.343101
-0.026582	0.099917	-0.311993
-0.026582	0.080954	-0.322686
-0.018647	0.103910	-0.316854
-0.018647	0.089936	-0.307132
-0.003769	0.083947	-0.310048
-0.006745	0.085944	-0.314909
-0.006745	0.075963	-0.298383
0.015076	0.074965	-0.295466
0.006149	0.070972	-0.295466
0.011108	0.075963	-0.311021
0.035905	0.065982	-0.303244
0.040864	0.045021	-0.305188
0.030946	0.056000	-0.310048
0.043840	0.059993	-0.284773
0.071612	0.044023	-0.295466
0.064669	0.024060	-0.316854
0.077563	0.026056	-0.307132
0.093433	0.023063	-0.293522
0.081531	0.018071	-0.306160
0.089466	0.039032	-0.298383
0.100376	0.008090	-0.305188
0.105335	-0.011872	-0.319770
0.103352	-0.002889	-0.314909
0.116246	0.023063	-0.295466
0.099384	-0.005883	-0.318797
0.088473	-0.011872	-0.334352
0.112278	0.001103	-0.325603
0.116246	-0.020855	-0.342129
0.086490	-0.006882	-0.350878
0.085498	0.004098	-0.348933
0.118229	-0.014866	-0.350878
0.082522	-0.039820	-0.363515
0.049791	-0.010874	-0.360599
0.099384	0.000106	-0.347961
0.075579	-0.055789	-0.390735
0.024994	-0.021853	-0.389762
0.067645	-0.011872	-0.381013
0.068636	-0.063774	-0.373236
0.018052	-0.047804	-0.374208
0.032929	-0.030836	-0.379068
0.061693	-0.059782	-0.356710
0.011108	-0.090723	-0.386846
0.005157	-0.033831	-0.366431
0.038880	-0.046806	-0.350878
0.021027	-0.083736	-0.354766
-0.007737	-0.056787	-0.390735
0.023011	-0.047804	-0.368376
0.024003	-0.062777	-0.332407
-0.008729	-0.063774	-0.364487
0.022019	-0.028840	-0.380041
0.046815	-0.054791	-0.344072
0.012100	-0.098708	-0.370319
0.006149	-0.040817	-0.393651
0.054750	-0.041816	-0.355738
0.040864	-0.072758	-0.380041
0.030946	-0.064773	-0.416009
0.070620	-0.051797	-0.404344
0.064669	-0.054791	-0.360599
0.040864	-0.056787	-0.403372
0.059710	-0.029839	-0.423786
0.085498	-0.072758	-0.415037
0.062685	-0.075751	-0.423786
0.058718	-0.047804	-0.441284
0.074587	-0.024848	-0.421843
0.067645	-0.047804	-0.419898
0.071612	-0.059782	-0.466559
0.084506	-0.055789	-0.466559
0.073596	-0.064773	-0.445173
0.064669	-0.052794	-0.460727
0.091449	-0.041816	-0.466559
0.092441	-0.069763	-0.461699
0.064669	-0.069763	-0.474337
0.095417	-0.047804	-0.463643
0.114262	-0.078746	-0.458783
0.060701	-0.072758	-0.476281
0.096408	-0.046806	-0.462671
0.118229	-0.077748	-0.464616
0.074587	-0.104697	-0.465588
0.091449	-0.044810	-0.453922
0.110294	-0.059782	-0.464616
0.082522	-0.090723	-0.454894
0.066653	-0.067767	-0.485030
0.094425	-0.053793	-0.469476
0.082522	-0.064773	-0.447117
0.068636	-0.066769	-0.457810
0.082522	-0.051797	-0.461699
0.080539	-0.072758	-0.456839
0.066653	-0.068765	-0.441284
0.064669	-0.043812	-0.448090
0.065661	-0.042813	-0.434480
0.066653	-0.053793	-0.435452
0.059710	-0.059782	-0.466559
0.057726	-0.052794	-0.442257
0.058718	-0.052794	-0.428647
0.062685	-0.044810	-0.432535
0.061693	-0.044810	-0.438368
0.060701	-0.048802	-0.441284
0.060701	-0.043812	-0.424759
0.073596	-0.043812	-0.432535
0.058718	-0.023849	-0.416009
0.061693	-0.037823	-0.414065
0.071612	-0.029839	-0.418926
0.046815	-0.024848	-0.422814
0.071612	-0.017860	-0.408233
0.075579	-0.018859	-0.410176
0.059710	-0.013868	-0.421843
0.063677	0.007092	-0.396567
0.069628	-0.014866	-0.389762
0.053759	0.004098	-0.392678
0.081531	0.029051	-0.362543
0.097400	-0.004885	-0.367403
0.046815	-0.012870	-0.385874
0.053759	0.039032	-0.358654
0.092441	0.030049	-0.350878
0.070620	0.010087	-0.355738
0.059710	0.030049	-0.359627
0.073596	0.024060	-0.353794
0.067645	0.029051	-0.351850
0.048799	0.033044	-0.361570
0.079547	0.027055	-0.335323
0.072604	0.010087	-0.343101
0.050783	0.015078	-0.353794
0.065661	0.032045	-0.332407
0.051775	0.013081	-0.348933
0.078555	0.014079	-0.334352
0.081531	0.003099	-0.326574
0.069628	0.002102	-0.330462
0.061693	0.032045	-0.332407
0.101368	0.020068	-0.317825
0.103352	-0.019857	-0.316854
0.080539	0.003099	-0.331435
0.086490	0.018071	-0.300327
0.121205	0.014079	-0.287689
0.112278	-0.019857	-0.308105
0.112278	-0.009875	-0.310048
0.164847	0.009089	-0.259498
0.131124	-0.027842	-0.256581
0.114262	0.025059	-0.280885
0.161871	0.021066	-0.246861
0.186667	-0.040817	-0.270191
0.140050	-0.036825	-0.299355
0.162863	0.026056	-0.242000
0.177741	0.026056	-0.213808
0.150961	-0.006882	-0.252693
0.159887	0.010087	-0.273108
0.196586	0.001103	-0.234223
0.147985	-0.020855	-0.239083
0.098392	0.031047	-0.239083
0.166831	0.065982	-0.226446
0.173773	0.005096	-0.254638
0.103352	-0.015864	-0.250749
