STON	STON	STON
2014	2014	2014
3	3	3
30	30	30
2	2	2
29	29	29
30	30	30
0.020	0.020	0.020
-0.043927	-0.044761	-0.048537
-0.027065	-0.045759	-0.037844
-0.029049	-0.049751	-0.040760
-0.029049	-0.050750	-0.035900
-0.020123	-0.057736	-0.035900
-0.021114	-0.063725	-0.032983
-0.019131	-0.066719	-0.037844
-0.014172	-0.065722	-0.023262
-0.018139	-0.071710	-0.028123
-0.005244	-0.071710	-0.024234
-0.007228	-0.076700	-0.020346
-0.000285	-0.074704	-0.014513
0.002690	-0.076700	-0.005764
0.011617	-0.077699	-0.018401
0.009633	-0.077699	0.004930
0.015585	-0.072708	-0.008680
0.017569	-0.067718	-0.000903
0.021536	-0.069714	-0.008680
0.029470	-0.056738	-0.005764
0.028479	-0.064723	-0.014513
0.039390	-0.053743	-0.002848
0.032446	-0.057736	-0.021317
0.047324	-0.052746	-0.015485
0.040381	-0.045759	-0.006736
0.049308	-0.045759	-0.009652
0.046332	-0.033781	0.002013
0.046332	-0.042765	-0.015485
0.047324	-0.028790	0.005901
0.039390	-0.033781	-0.011597
0.044349	-0.028790	0.000069
0.036413	-0.029789	-0.016458
0.042365	-0.027793	-0.008680
0.037406	-0.021804	-0.004792
0.037406	-0.027793	-0.000903
0.030462	-0.020805	0.014650
0.034430	-0.025796	0.007846
0.023520	-0.021804	0.019511
0.024511	-0.025796	0.007846
0.022528	-0.013819	0.018539
0.016577	-0.026794	0.017567
0.017569	-0.017812	0.030205
0.004674	-0.016813	0.033121
0.009633	-0.023800	0.040897
0.002690	-0.016813	0.038954
0.007649	-0.026794	0.042842
-0.001277	-0.013819	0.050619
0.000707	-0.024798	0.048675
-0.003261	-0.018809	0.066173
-0.005244	-0.022802	0.048675
-0.007228	-0.020805	0.064229
-0.012187	-0.021804	0.062284
-0.013180	-0.021804	0.052564
-0.007228	-0.019808	0.060340
-0.012187	-0.021804	0.050619
-0.012187	-0.009827	0.066173
-0.013180	-0.012821	0.064229
-0.020123	-0.007831	0.063256
-0.010203	-0.005834	0.070062
-0.020123	-0.003838	0.065201
-0.007228	0.002151	0.070062
-0.014172	0.003149	0.059368
-0.006236	0.009138	0.070062
-0.012187	0.011134	0.069089
-0.007228	0.019119	0.073950
-0.001277	0.025107	0.073950
-0.002269	0.027104	0.074922
0.003682	0.039082	0.083672
0.003682	0.042076	0.076866
0.014593	0.052057	0.088531
0.012609	0.055052	0.082699
0.023520	0.064034	0.089504
0.025503	0.067029	0.086588
0.034430	0.075014	0.091448
0.036413	0.080005	0.091448
0.044349	0.082001	0.097281
0.046332	0.087990	0.108946
0.050300	0.086991	0.098253
0.058234	0.093978	0.112835
0.062202	0.097971	0.104086
0.065178	0.098969	0.102141
0.070137	0.096972	0.097281
0.076088	0.097971	0.102141
0.071129	0.100965	0.107002
0.083031	0.103959	0.102141
0.083031	0.107952	0.111862
0.089974	0.109948	0.107002
0.090966	0.108950	0.116723
0.093942	0.111944	0.110890
0.095925	0.107952	0.113807
0.095925	0.109948	0.124500
0.098901	0.114939	0.127417
0.097909	0.116935	0.134221
0.102868	0.114939	0.138110
0.099893	0.121925	0.130333
0.097909	0.113940	0.123528
0.101876	0.112943	0.126445
0.100884	0.117933	0.124500
0.101876	0.112943	0.131305
0.101876	0.124920	0.140054
0.098901	0.113940	0.140054
0.103860	0.114939	0.143943
0.097909	0.114939	0.141026
0.105844	0.109948	0.150747
0.100884	0.112943	0.149776
0.101876	0.111944	0.149776
0.096917	0.111944	0.163385
0.100884	0.103959	0.155608
0.099893	0.099967	0.162413
0.095925	0.094976	0.162413
0.096917	0.091982	0.166302
0.092950	0.086991	0.159496
0.093942	0.091982	0.171162
0.086006	0.088987	0.171162
0.092950	0.088987	0.171162
0.077080	0.087990	0.170190
0.081047	0.080005	0.158525
0.078072	0.090983	0.177967
0.070137	0.088987	0.172134
0.071129	0.100965	0.193521
0.067162	0.097971	0.183800
0.064186	0.101963	0.194492
0.054267	0.100965	0.202270
0.055259	0.101963	0.198381
0.047324	0.110946	0.214908
0.042365	0.103959	0.206159
0.044349	0.124920	0.232406
0.035421	0.110946	0.214908
0.034430	0.120927	0.234350
0.028479	0.118931	0.224628
0.030462	0.119929	0.235322
0.027487	0.123921	0.244071
0.036413	0.120927	0.243099
0.027487	0.129910	0.262541
0.034430	0.124920	0.230461
0.035421	0.130909	0.257681
0.038398	0.119929	0.236294
0.046332	0.130909	0.249904
0.039390	0.122924	0.239210
0.054267	0.133903	0.249904
0.053275	0.123921	0.245043
0.071129	0.123921	0.251848
0.064186	0.125918	0.255736
0.082039	0.122924	0.244071
0.079063	0.129910	0.246987
0.099893	0.114939	0.230461
0.100884	0.122924	0.247959
0.113779	0.110946	0.231433
0.119730	0.117933	0.253792
0.128656	0.104958	0.229489
0.146510	0.112943	0.246016
0.138576	0.106954	0.225600
0.162380	0.105955	0.232406
0.153453	0.103959	0.228517
0.176266	0.099967	0.214908
0.170315	0.104958	0.221712
0.184200	0.091982	0.202270
0.181225	0.096972	0.211019
0.192136	0.084995	0.195465
0.190152	0.095974	0.214908
0.187177	0.081002	0.193521
0.200070	0.090983	0.199353
0.194119	0.085993	0.188660
0.204038	0.081002	0.192549
0.192136	0.081002	0.205186
0.198087	0.075014	0.200326
0.193128	0.082999	0.202270
0.195111	0.073017	0.198381
0.187177	0.080005	0.207130
0.186185	0.074016	0.196437
0.182217	0.083997	0.206159
0.178249	0.079006	0.212963
0.167339	0.082001	0.225600
0.164364	0.085993	0.228517
0.157420	0.082999	0.231433
0.148494	0.083997	0.234350
0.146510	0.078008	0.235322
0.136592	0.085993	0.241155
0.132624	0.082999	0.245043
0.127665	0.084995	0.258653
0.123697	0.086991	0.255736
0.116755	0.085993	0.262541
0.116755	0.088987	0.276151
0.106835	0.087990	0.266430
0.111795	0.090983	0.281012
0.098901	0.089986	0.279067
0.101876	0.099967	0.290732
0.101876	0.097971	0.297538
0.105844	0.101963	0.290732
0.095925	0.103959	0.306287
0.102868	0.100965	0.306287
0.105844	0.112943	0.319897
0.099893	0.101963	0.310175
0.109811	0.112943	0.329618
0.096917	0.105955	0.316008
0.111795	0.115936	0.330589
0.103860	0.106954	0.322813
0.117746	0.111944	0.332534
0.108819	0.112943	0.342255
0.120722	0.102962	0.324757
0.109811	0.117933	0.343227
0.116755	0.105955	0.312119
0.124689	0.117933	0.328646
0.120722	0.104958	0.305314
0.131632	0.111944	0.323785
0.124689	0.103959	0.307259
0.139567	0.108950	0.314064
0.123697	0.110946	0.307259
0.140559	0.107952	0.293649
0.134607	0.113940	0.300454
0.138576	0.106954	0.277123
0.137584	0.115936	0.297538
0.145518	0.110946	0.278095
0.143535	0.116935	0.288789
0.142543	0.104958	0.273234
0.145518	0.113940	0.280040
0.137584	0.109948	0.266430
0.140559	0.110946	0.264485
0.134607	0.116935	0.259624
0.141551	0.111944	0.255736
0.134607	0.120927	0.254765
0.140559	0.115936	0.245043
0.131632	0.121925	0.256708
0.138576	0.125918	0.240183
0.138576	0.130909	0.256708
0.138576	0.123921	0.237267
0.135600	0.131907	0.233377
0.133615	0.128912	0.228517
0.137584	0.128912	0.225600
0.128656	0.130909	0.227545
0.135600	0.129910	0.215879
0.129648	0.136897	0.213935
0.129648	0.133903	0.205186
0.126673	0.143884	0.198381
0.129648	0.142886	0.191576
0.126673	0.143884	0.195465
0.123697	0.144882	0.192549
0.119730	0.152867	0.204214
0.119730	0.152867	0.198381
0.117746	0.153865	0.204214
0.114771	0.158855	0.202270
0.112787	0.156859	0.210047
0.109811	0.158855	0.215879
0.115763	0.162848	0.209075
0.104852	0.162848	0.217824
0.108819	0.163847	0.216851
0.102868	0.163847	0.216851
0.107827	0.158855	0.216851
0.102868	0.158855	0.211019
0.102868	0.154863	0.215879
0.109811	0.158855	0.218796
0.106835	0.154863	0.215879
0.108819	0.153865	0.228517
0.111795	0.151869	0.211019
0.111795	0.147877	0.214908
0.113779	0.146878	0.208102
0.118738	0.149873	0.208102
0.121714	0.140890	0.211019
0.128656	0.135900	0.205186
0.128656	0.133903	0.206159
0.132624	0.127914	0.200326
0.133615	0.124920	0.195465
0.136592	0.122924	0.191576
0.131632	0.115936	0.193521
0.137584	0.106954	0.184772
0.136592	0.100965	0.179911
0.145518	0.096972	0.182827
0.137584	0.089986	0.175051
0.143535	0.084995	0.167274
0.145518	0.082001	0.163385
0.140559	0.073017	0.155608
0.138576	0.073017	0.152692
0.137584	0.065033	0.144915
0.135600	0.068027	0.153664
0.129648	0.060042	0.135194
0.132624	0.064034	0.141026
0.126673	0.060042	0.133249
0.127665	0.056049	0.128388
0.114771	0.053055	0.120612
0.117746	0.054053	0.114779
0.104852	0.055052	0.113807
0.104852	0.051059	0.117695
0.090966	0.053055	0.117695
0.088983	0.045071	0.111862
0.078072	0.046068	0.119639
0.071129	0.042076	0.117695
0.061210	0.043074	0.121584
0.052283	0.040079	0.117695
0.047324	0.042076	0.133249
0.032446	0.036087	0.127417
0.030462	0.040079	0.141026
0.012609	0.037086	0.130333
0.016577	0.037086	0.143943
-0.002269	0.036087	0.141998
0.003682	0.036087	0.143943
-0.009212	0.039082	0.153664
-0.019131	0.034091	0.144915
-0.026073	0.034091	0.156580
-0.032024	0.027104	0.155608
-0.039960	0.029100	0.157553
-0.045911	0.022114	0.156580
-0.047894	0.025107	0.174078
-0.058805	0.024110	0.170190
-0.056821	0.024110	0.180883
-0.063765	0.024110	0.190604
-0.066740	0.022114	0.198381
-0.072691	0.030098	0.199353
-0.071699	0.023111	0.198381
-0.073683	0.032095	0.204214
-0.074675	0.029100	0.200326
-0.078642	0.025107	0.218796
-0.079634	0.030098	0.212963
-0.080626	0.030098	0.209075
-0.082609	0.035089	0.210047
-0.077650	0.032095	0.200326
-0.078642	0.041078	0.211019
-0.078642	0.032095	0.202270
-0.074675	0.041078	0.211019
-0.079634	0.038083	0.199353
-0.068724	0.046068	0.209075
-0.075666	0.045071	0.201298
-0.065748	0.052057	0.198381
-0.069715	0.057048	0.205186
-0.057813	0.048064	0.193521
-0.053845	0.056049	0.210047
-0.052854	0.044072	0.198381
-0.047894	0.055052	0.209075
-0.045911	0.045071	0.194492
-0.033016	0.053055	0.206159
-0.037976	0.046068	0.192549
-0.028057	0.050061	0.200326
-0.035000	0.044072	0.194492
-0.012187	0.045071	0.196437
-0.021114	0.045071	0.197410
-0.005244	0.039082	0.189632
-0.014172	0.042076	0.203242
