STON	STON	STON
2015	2015	2015
5	5	5
7	7	7
1	1	1
29	29	29
30	30	30
0.020	0.020	0.020
-0.025290	-0.192120	0.175123
-0.025290	-0.184135	0.183872
-0.034217	-0.191122	0.174151
-0.025290	-0.186131	0.185817
-0.032233	-0.191122	0.177068
-0.030250	-0.190124	0.180956
-0.033225	-0.184135	0.184845
-0.033225	-0.188128	0.182900
-0.027274	-0.177148	0.182900
-0.034217	-0.183137	0.171235
-0.033225	-0.179145	0.171235
-0.022315	-0.177148	0.167346
-0.026282	-0.183137	0.159570
-0.021323	-0.170161	0.160542
-0.021323	-0.177148	0.148876
-0.021323	-0.173156	0.143044
-0.016364	-0.164173	0.147904
-0.023307	-0.176150	0.135266
-0.009420	-0.168165	0.138183
-0.013389	-0.167167	0.129434
-0.007437	-0.168165	0.112907
-0.005453	-0.163175	0.120685
-0.009420	-0.182138	0.112907
0.003473	-0.165171	0.109019
-0.006445	-0.167167	0.102214
0.002481	-0.173156	0.089577
0.006449	-0.162176	0.099298
0.005457	-0.171160	0.085689
0.007441	-0.157186	0.095409
0.007441	-0.163175	0.094438
0.012401	-0.168165	0.086660
0.009424	-0.158184	0.091521
0.010416	-0.169164	0.077911
0.010416	-0.152195	0.088605
0.008432	-0.161179	0.082772
0.008432	-0.154191	0.086660
0.006449	-0.147204	0.091521
0.000498	-0.156188	0.083744
0.005457	-0.138222	0.102214
-0.005453	-0.150199	0.091521
-0.000494	-0.142214	0.091521
-0.009420	-0.145208	0.096381
-0.012396	-0.140218	0.088605
-0.006445	-0.133231	0.105131
-0.020331	-0.136226	0.100270
-0.014380	-0.132233	0.104158
-0.025290	-0.134229	0.102214
-0.023307	-0.136226	0.092493
-0.027274	-0.129238	0.107075
-0.034217	-0.138222	0.106103
-0.034217	-0.137223	0.108047
-0.045128	-0.137223	0.108047
-0.047112	-0.155190	0.106103
-0.058022	-0.147204	0.114852
-0.064965	-0.151197	0.107075
-0.065957	-0.150199	0.116796
-0.081826	-0.159182	0.122629
-0.081826	-0.158184	0.116796
-0.084802	-0.146207	0.127489
-0.094721	-0.152195	0.130405
-0.100672	-0.151197	0.128462
-0.110590	-0.152195	0.134295
-0.111583	-0.158184	0.132350
-0.120509	-0.156188	0.143044
-0.124476	-0.159182	0.146932
-0.133403	-0.167167	0.139154
-0.139355	-0.158184	0.156653
-0.145306	-0.168165	0.149848
-0.149273	-0.163175	0.156653
-0.152248	-0.167167	0.160542
-0.156216	-0.175152	0.158597
-0.166135	-0.167167	0.164430
-0.170102	-0.177148	0.160542
-0.174069	-0.170161	0.166374
-0.184979	-0.171160	0.162486
