STON	STON	STON
2015	2015	2015
2	2	2
10	10	10
1	1	1
11	11	11
15	15	15
0.020	0.020	0.020
-0.232521	-0.252412	-0.660429
-0.260294	-0.273372	-0.649736
-0.285090	-0.290340	-0.644876
-0.309887	-0.314295	-0.638071
-0.326748	-0.329267	-0.621545
-0.355512	-0.350227	-0.614739
-0.365431	-0.363203	-0.593353
-0.384276	-0.372186	-0.583632
-0.402129	-0.392148	-0.573911
-0.406096	-0.396141	-0.568078
-0.413040	-0.417101	-0.562245
-0.418991	-0.427082	-0.548635
-0.420975	-0.434070	-0.541831
-0.422958	-0.452036	-0.516556
-0.422958	-0.457026	-0.502946
-0.415024	-0.471000	-0.486420
-0.413040	-0.479983	-0.472811
-0.403121	-0.489964	-0.458228
-0.394195	-0.492958	-0.441703
-0.388244	-0.505934	-0.436842
-0.379316	-0.509927	-0.420316
-0.362455	-0.513919	-0.407679
-0.354520	-0.526895	-0.400873
-0.336667	-0.523900	-0.378514
-0.328732	-0.536876	-0.374626
-0.314846	-0.531885	-0.360044
-0.297984	-0.539870	-0.347406
-0.288066	-0.536876	-0.334769
-0.267237	-0.534880	-0.318243
-0.255334	-0.532884	-0.308522
-0.238473	-0.528891	-0.291996
-0.222603	-0.518909	-0.273525
-0.212685	-0.511923	-0.271582
-0.199790	-0.509927	-0.266721
-0.181936	-0.489964	-0.244362
-0.165075	-0.496951	-0.246306
-0.147222	-0.479983	-0.228808
-0.131351	-0.471000	-0.215199
-0.108539	-0.458024	-0.208394
-0.100604	-0.450039	-0.197701
-0.085726	-0.434070	-0.183119
-0.069857	-0.414107	-0.171453
-0.056962	-0.407120	-0.174370
-0.040101	-0.386160	-0.159787
-0.031174	-0.383165	-0.159787
-0.016296	-0.363203	-0.151038
-0.003402	-0.353222	-0.143262
0.012468	-0.340246	-0.132568
0.018419	-0.332261	-0.115070
0.034288	-0.322280	-0.110209
0.045199	-0.306310	-0.103405
0.055118	-0.305312	-0.093683
0.074955	-0.288343	-0.087851
0.079914	-0.283353	-0.088822
0.092809	-0.274370	-0.083962
0.100743	-0.270377	-0.081046
0.110662	-0.264389	-0.076185
0.124548	-0.260396	-0.075213
0.127523	-0.262393	-0.070353
0.139426	-0.250415	-0.062575
0.143394	-0.252412	-0.064520
0.150336	-0.245424	-0.074241
0.155295	-0.247421	-0.071324
0.162239	-0.244427	-0.079102
0.173149	-0.241432	-0.084934
0.163231	-0.247421	-0.102432
0.171165	-0.237440	-0.108265
0.171165	-0.246423	-0.117987
0.164223	-0.243428	-0.137429
0.160255	-0.250415	-0.133540
0.160255	-0.252412	-0.144234
0.149344	-0.247421	-0.145205
0.131491	-0.261395	-0.166593
0.132483	-0.250415	-0.159787
0.103719	-0.264389	-0.177286
0.103719	-0.250415	-0.173397
0.075947	-0.262393	-0.173397
0.068012	-0.259398	-0.190895
0.058093	-0.248419	-0.182146
0.029329	-0.264389	-0.199644
0.023378	-0.243428	-0.187007
-0.004394	-0.267384	-0.203533
-0.010345	-0.247421	-0.194784
-0.033157	-0.257402	-0.203533
-0.043077	-0.249417	-0.207421
-0.049027	-0.240434	-0.191868
-0.061922	-0.249417	-0.205478
-0.072832	-0.231451	-0.202560
-0.075808	-0.243428	-0.218115
-0.090686	-0.224464	-0.224919
-0.093661	-0.231451	-0.245335
-0.100604	-0.224464	-0.250195
-0.109530	-0.222467	-0.259916
-0.115482	-0.213485	-0.267693
-0.129368	-0.214483	-0.274498
-0.130360	-0.217477	-0.283247
-0.147222	-0.207496	-0.293941
-0.143254	-0.214483	-0.315327
-0.153172	-0.206498	-0.313382
-0.158132	-0.216479	-0.334769
-0.161108	-0.209493	-0.335741
-0.164083	-0.218475	-0.341574
-0.169043	-0.222467	-0.349351
-0.176977	-0.223466	-0.338657
-0.180944	-0.231451	-0.348379
-0.192847	-0.232449	-0.345463
