STON	STON	STON
2014	2014	2014
5	5	5
24	24	24
5	5	5
28	28	28
30	30	30
0.020	0.020	0.020
0.369333	0.357071	-0.191677
0.317756	0.402985	-0.155708
0.330650	0.400988	-0.112935
0.316764	0.317146	-0.166402
0.306846	0.380028	-0.218897
0.341560	0.446901	-0.212091
0.413966	0.501798	-0.176124
0.400081	0.491817	-0.223757
0.339577	0.441911	-0.228618
0.360406	0.471854	-0.297638
0.345529	0.454886	-0.296666
0.359414	0.407975	-0.211120
0.362390	0.406977	-0.194593
0.385202	0.370047	-0.187789
0.376276	0.367052	-0.181956
0.380243	0.362062	-0.187789
0.385202	0.328125	-0.210148
0.370325	0.376035	-0.215981
0.387186	0.349086	-0.190705
0.396113	0.355075	-0.154737
0.371317	0.380028	-0.280140
0.348504	0.436920	-0.244172
0.301887	0.427938	-0.235422
0.250310	0.494811	-0.215981
0.295936	0.440913	-0.238338
0.297919	0.357071	-0.208203
0.288000	0.400988	-0.091549
0.311805	0.363059	-0.234450
0.328667	0.387014	-0.324858
0.335609	0.406977	-0.322913
0.348504	0.421948	-0.228618
0.369333	0.325130	-0.203342
0.347512	0.402985	-0.165430
0.333626	0.383021	-0.188761
0.309821	0.295187	-0.129461
0.296927	0.301176	-0.108075
0.331642	0.353078	-0.211120
0.374292	0.366054	-0.172235
0.377268	0.361063	-0.140155
0.330650	0.393003	-0.144043
0.312797	0.366054	-0.130434
0.326683	0.422947	-0.102242
0.306846	0.414962	-0.114880
0.285025	0.477843	-0.063357
0.269155	0.438916	-0.157653
0.236423	0.419952	-0.166402
0.225513	0.427938	-0.225701
0.216586	0.470857	-0.240283
0.194765	0.500800	-0.192649
0.159059	0.409971	-0.241256
0.101531	0.373040	-0.226673
0.127319	0.412966	-0.289862
0.194765	0.432928	-0.210148
0.200717	0.428935	-0.185844
0.211627	0.407975	-0.167375
0.205676	0.406977	-0.129461
0.285025	0.398992	-0.205287
0.252294	0.384020	-0.197510
0.221546	0.374039	-0.184873
0.204684	0.313153	-0.148904
0.195757	0.359067	-0.059469
0.250310	0.299180	-0.072106
0.214602	0.405978	-0.084743
0.283041	0.443907	-0.095437
0.233448	0.392005	-0.148904
0.229481	0.419952	-0.149876
0.250310	0.369048	-0.173207
0.254277	0.373040	-0.200426
0.262212	0.425941	-0.196538
0.239399	0.436920	-0.216952
0.234440	0.369048	-0.181956
0.206668	0.303172	-0.171263
0.202701	0.345093	-0.149876
0.182863	0.327127	-0.171263
0.244358	0.243285	-0.190705
0.276098	0.268238	-0.270419
0.198733	0.254264	-0.281113
0.186831	0.285206	-0.237367
0.222538	0.356072	-0.185844
0.211627	0.386016	-0.133350
0.177904	0.360065	-0.164458
0.152116	0.390009	-0.162514
0.153108	0.341101	-0.196538
0.179888	0.347090	-0.167375
0.250310	0.275225	-0.204315
0.246343	0.294189	-0.136267
0.224522	0.401986	-0.128489
0.256261	0.348087	-0.189733
0.270146	0.343097	-0.165430
0.243366	0.421948	-0.122657
0.237415	0.408973	-0.192649
0.192781	0.332118	-0.224730
0.149140	0.350083	-0.113908
0.168977	0.306167	-0.173207
0.165009	0.309161	-0.219869
0.147156	0.287202	-0.188761
0.199725	0.302174	-0.208203
0.173937	0.299180	-0.153765
0.180880	0.368050	-0.167375
0.210635	0.347090	-0.110991
0.161042	0.366054	-0.034194
0.144180	0.423944	-0.092521
0.148149	0.363059	-0.110991
0.205676	0.425941	-0.127518
0.238407	0.377033	-0.088633
0.193773	0.328125	-0.117796
0.155091	0.302174	-0.148904
0.152116	0.323134	-0.145988
0.112441	0.274226	-0.160569
0.111449	0.210347	-0.160569
0.098556	0.201364	-0.139183
0.151124	0.179405	-0.167375
0.151124	0.245281	-0.145016
0.123352	0.214339	-0.170291
0.090620	0.278219	-0.138210
0.101531	0.287202	-0.123629
0.130295	0.211345	-0.113908
0.099547	0.177409	-0.116824
0.058881	0.185394	-0.050720
0.045986	0.268238	-0.076967
0.040035	0.281214	-0.166402
0.032101	0.292192	-0.069190
0.078718	0.278219	-0.075994
0.033092	0.288200	-0.074051
0.122359	0.237296	-0.174179
0.114425	0.300178	-0.126545
0.112441	0.335112	-0.126545
0.125336	0.266242	-0.067245
0.064832	0.202362	0.001775
0.051938	0.165432	-0.066274
0.033092	0.212343	-0.070162
0.094587	0.230309	-0.078911
0.111449	0.203361	-0.070162
0.108474	0.189386	-0.055580
0.077726	0.218332	-0.044887
0.055905	0.232306	0.009552
0.052930	0.246280	0.011496
-0.015509	0.211345	-0.013780
-0.048240	0.199368	0.001775
0.008296	0.159443	-0.101270
0.039043	0.186392	-0.055580
0.025158	0.191382	-0.032249
0.007304	0.226316	-0.023500
0.012263	0.222324	-0.090577
0.038052	0.198370	-0.068218
0.056897	0.193378	-0.075994
0.053922	0.168426	-0.146959
0.102523	0.162437	-0.137239
0.048962	0.166430	-0.063357
0.022182	0.169424	-0.017668
0.026150	0.109537	-0.039054
0.071774	0.143473	-0.013780
0.126328	0.129499	-0.043915
0.067807	0.177409	-0.050720
0.064832	0.183397	-0.074051
-0.007574	0.148463	-0.006974
0.044003	0.146467	-0.069190
0.048962	0.111533	-0.030305
0.073759	0.088576	-0.059469
0.085661	0.163435	-0.021556
0.045986	0.105544	-0.032249
0.047970	0.095563	-0.110019
0.008296	0.144471	-0.041970
0.051938	0.122513	0.006636
0.036068	0.104547	-0.036138
0.067807	0.108539	-0.058496
0.040035	0.171420	0.009552
-0.011541	0.105544	-0.049747
-0.008566	0.147466	-0.072106
-0.016500	0.154452	-0.063357
0.018214	0.180404	-0.004058
0.013255	0.156448	-0.059469
-0.017492	0.142475	0.009552
-0.005590	0.156448	-0.022529
-0.024435	0.124509	-0.022529
-0.031379	0.179405	0.027050
-0.011541	0.156448	0.017328
-0.017492	0.164433	0.081489
-0.024435	0.182400	0.097042
-0.002615	0.105544	0.109680
-0.031379	0.161439	0.105792
-0.052208	0.100554	0.070795
0.002345	0.081590	0.088293
0.006312	0.084584	0.025105
-0.008566	0.094565	0.000803
-0.024435	0.109537	0.043576
-0.012533	0.020704	0.012468
-0.027411	0.090572	0.069823
-0.014517	0.012719	0.023161
-0.003607	0.078595	0.092182
-0.038321	0.087578	0.025105
-0.066093	0.030685	0.011496
-0.096841	0.075601	0.039687
-0.122629	0.031683	0.013440
-0.130565	0.014715	0.000803
-0.114695	0.054640	-0.055580
-0.116678	0.051646	-0.056553
-0.089898	0.017710	-0.062386
-0.113703	0.048652	0.039687
-0.089898	0.043661	-0.045859
-0.088906	0.018708	-0.038082
-0.146434	0.022700	0.028995
-0.088906	0.024696	0.040660
-0.089898	0.044659	0.036771
-0.080972	-0.012234	-0.001142
-0.081964	0.017710	0.046493
-0.087914	0.053642	0.010524
-0.114695	-0.035191	-0.006974
-0.129573	0.013718	-0.009891
-0.101801	0.022700	-0.028361
-0.127589	0.016711	0.023161
-0.125606	-0.009239	0.055242
-0.150402	-0.004249	0.036771
-0.138499	0.024696	-0.002113
-0.129573	0.071609	0.002747
-0.114695	0.087578	-0.022529
-0.170238	0.041665	-0.026417
-0.189084	0.052644	0.047464
-0.149410	0.066618	0.043576
-0.161312	0.094565	0.022189
-0.155361	0.081590	-0.002113
-0.152386	0.026692	0.026077
-0.112711	-0.027205	0.001775
-0.084939	-0.027205	-0.071135
-0.077996	0.026692	-0.070162
-0.091882	-0.027205	-0.060441
-0.118662	-0.036189	-0.077939
-0.158337	-0.030200	-0.087660
-0.119654	-0.109052	-0.047803
-0.144450	-0.012234	0.002747
-0.114695	-0.001254	-0.112935
-0.092874	-0.025209	-0.044887
-0.122629	-0.008242	0.076628
-0.066093	-0.047168	-0.024472
-0.066093	-0.018223	-0.043915
-0.048240	-0.036189	-0.025445
-0.045264	-0.120030	0.007607
-0.056175	-0.117037	-0.012807
-0.052208	-0.103063	-0.006974
-0.057167	-0.146980	-0.024472
-0.065102	-0.131010	-0.061413
-0.075021	-0.158957	-0.070162
-0.102793	-0.192894	-0.029333
-0.075021	-0.172932	-0.063357
-0.060143	-0.136999	-0.040998
-0.055183	-0.169937	-0.058496
-0.120646	-0.174928	0.004691
-0.157345	-0.161952	0.055242
-0.115686	-0.216848	-0.036138
-0.127589	-0.160954	0.037744
-0.112711	-0.146980	-0.013780
-0.126597	-0.151971	-0.015723
-0.152386	-0.154965	-0.019612
-0.164288	-0.185906	-0.034194
-0.150402	-0.163948	-0.034194
-0.136516	-0.190897	-0.109047
-0.181149	-0.207866	-0.057525
-0.202971	-0.252781	-0.031278
