time;ZZ_med;ZZ_sigma;ZZ_pts;RR_med;RR_sigma;RR_pts;TT_med;TT_sigma;TT_pts
2009-01-01;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-02;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-03;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-04;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-05;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-06;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-07;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-08;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-09;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-10;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-11;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-12;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-13;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-14;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-15;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-16;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-17;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-18;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-19;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-20;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-21;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-22;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-23;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-24;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-25;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-26;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-27;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-28;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-29;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-30;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-01-31;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-01;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-02;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-03;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-04;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-05;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-06;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-07;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-08;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-09;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-10;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-11;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-12;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-13;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-14;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-15;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-16;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-17;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-18;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-19;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-20;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-21;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-22;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-23;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-24;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-25;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-26;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-27;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-02-28;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-03-01;-0.00028501028063;-0.029429684902;90;-0.0252412792183;-0.0242404336247;103;-0.014017165611;-0.0286155584447;103
2009-03-02;-0.00870026087116;-0.0310078474516;90;-0.0241651617803;-0.0300927541737;103;-0.00446843468097;-0.0282776676087;103
2009-03-03;-0.0102674345631;-0.0339543396017;90;-0.0273797774124;-0.0248527027904;103;-0.00655718791254;-0.0287535813148;103
2009-03-04;-0.00788333280393;-0.0381463189209;90;-0.0198665382853;-0.0315396569404;103;-0.00920822929084;-0.0244739913177;103
2009-03-05;-0.00718274663201;-0.038214177676;90;-0.0244215681832;-0.0297118292263;103;-0.00943165914725;-0.0225298910847;103
2009-03-06;-0.00781196794627;-0.0407948762256;90;-0.0226713563204;-0.0296844431419;103;-0.00672569239324;-0.0221575387138;103
2009-03-07;-0.0131616342312;-0.0414917385488;90;-0.0194433660908;-0.0301150418561;103;-0.0106148118847;-0.0218009964339;103
2009-03-08;-0.0136156157636;-0.0403212129517;90;-0.0204761766817;-0.0292261828409;103;-0.0130594341692;-0.0246891057309;103
2009-03-09;-0.0120688725688;-0.0393208398595;90;-0.0160516116745;-0.0325361193235;103;-0.0143656489198;-0.0223778289406;103
2009-03-10;-0.014133818984;-0.040054273354;90;-0.0191205954471;-0.0300858888221;103;-0.0131242814365;-0.0260424648048;103
2009-03-11;-0.0106332427531;-0.0398522059024;90;-0.0214536779472;-0.0346403501089;103;-0.00980942208467;-0.0246151695247;103
2009-03-12;-0.0167800539965;-0.0363851138942;90;-0.0182738975605;-0.0336864841507;103;-0.0110801864356;-0.0268354308583;103
2009-03-13;-0.0165619760037;-0.0365842129642;90;-0.0223871816953;-0.0345710974844;103;-0.0117957948024;-0.0287646169769;103
2009-03-14;-0.0127330928628;-0.0332794491603;90;-0.0255831705141;-0.0356177891881;103;-0.0109864190312;-0.0297590832237;103
2009-03-15;-0.0055767243471;-0.0368436700286;90;-0.0194641494495;-0.0403845415185;103;-0.0088098374269;-0.0314745924803;103
2009-03-16;-0.00726050938376;-0.0360280096953;90;-0.0253352126326;-0.0341241244662;103;-0.00915675887025;-0.0308559754106;103
2009-03-17;-0.00697159166611;-0.0371707700096;90;-0.028911964071;-0.0372136771811;103;-0.0101601432154;-0.0285523975966;103
2009-03-18;-0.0130383095232;-0.0341377044842;90;-0.0233586217864;-0.0338968552386;103;-0.00812621668513;-0.0220737792664;103
2009-03-19;-0.0216673280686;-0.0356887335905;90;-0.0220180040713;-0.03543250332;103;-0.0069773489025;-0.0270987584317;103
2009-03-20;-0.0225309252021;-0.0321280171983;90;-0.0198883208896;-0.0362622219607;103;-0.00965876923476;-0.0295870742582;103
2009-03-21;-0.0183127918332;-0.0309811091289;90;-0.0191058452319;-0.0376090725942;103;-0.00531048352555;-0.0342644002934;103
2009-03-22;-0.0229984239752;-0.0313445513905;90;-0.0183238389187;-0.0339669283914;103;-0.00223206341503;-0.032051033283;103
2009-03-23;-0.0230014470441;-0.0319599214064;90;-0.023838630302;-0.0331608391237;103;-0.00728885789967;-0.0344029848467;103
2009-03-24;-0.0171223740005;-0.0359511910151;90;-0.0189984061737;-0.0338854960901;103;-0.00920635219275;-0.0341063898677;103
2009-03-25;-0.0201603839031;-0.0319847467579;90;-0.0164912720206;-0.0292383502045;103;-0.0119794837303;-0.0369157256285;103
2009-03-26;-0.0163398215467;-0.0306993287739;90;-0.0162196448593;-0.0307478192934;103;-0.0101937680864;-0.0328504964289;103
2009-03-27;-0.0201426865484;-0.0336187097323;90;-0.0155522421692;-0.0309222614767;103;-0.0104454461706;-0.035489219371;103
2009-03-28;-0.0148837607859;-0.0346723921392;90;-0.0203573755004;-0.0365524820911;103;-0.00699326567193;-0.0297605996568;103
2009-03-29;-0.00989070344656;-0.0307281332311;90;-0.0159292581446;-0.0302474965188;103;-0.00902337638625;-0.0345984709134;103
2009-03-30;-0.0149764741487;-0.0340144213619;90;-0.0106856476379;-0.031353007599;103;-0.0127940802414;-0.0321526397154;103
2009-03-31;-0.0115328813986;-0.0299946555037;90;-0.0211641719449;-0.0344823588304;103;-0.0127471385441;-0.0316775274924;103
2009-04-01;-0.0123681926743;-0.0302746376397;90;-0.0180036251533;-0.0316587919309;103;-0.0129774023172;-0.0302125289556;103
2009-04-02;-0.0160535622381;-0.0316072902019;90;-0.0237357582795;-0.0325561267469;103;-0.0130519429372;-0.0324804012876;103
2009-04-03;-0.0122745011782;-0.0310909732864;90;-0.028485261738;-0.0301383755521;103;-0.0138202563981;-0.0341797150419;103
2009-04-04;-0.00932428195749;-0.0272773126254;90;-0.0269164947547;-0.03363811415;103;-0.0145811697134;-0.0292906056835;103
2009-04-05;-0.0132263298073;-0.0260610018895;90;-0.029340523005;-0.0321803743971;103;-0.00843601832416;-0.0335948808413;103
2009-04-06;-0.0177556101955;-0.0343339423341;90;-0.0165355941836;-0.0353672107318;103;-0.0165253004142;-0.0280352193544;103
2009-04-07;-0.0168684472291;-0.0356477138417;90;-0.0151884464413;-0.0398781399905;103;-0.019545285843;-0.0345757571705;103
2009-04-08;-0.020528897327;-0.0319850091355;90;-0.0200692272972;-0.0427369167268;103;-0.0163949691985;-0.0377819756086;103
2009-04-09;-0.0169297837048;-0.0322504273437;90;-0.0269658108809;-0.0378434728957;103;-0.0194118029381;-0.0361465104233;103
2009-04-10;-0.0213455548601;-0.0327597918995;90;-0.0208132922002;-0.0369154334427;103;-0.0118148101094;-0.0350038670704;103
2009-04-11;-0.0254071325822;-0.0381848792225;90;-0.0210543534202;-0.0324547774933;103;-0.0157603979814;-0.0404019201754;103
2009-04-12;-0.0246644429933;-0.0400247873118;90;-0.0308430759319;-0.0387985540771;103;-0.0143856725131;-0.0363991807997;103
2009-04-13;-0.0228321613868;-0.0359312419204;90;-0.0310475975614;-0.0371945905491;103;-0.0166510772824;-0.0357683029328;103
2009-04-14;-0.0232851365167;-0.0426346779878;90;-0.0289615134195;-0.0315705753877;103;-0.0144070521671;-0.0345128381194;103
2009-04-15;-0.0189121118895;-0.0375034273117;90;-0.0221051732055;-0.034823428628;103;-0.0237331196022;-0.0329791954287;103
2009-04-16;-0.0186125171161;-0.0382281248498;90;-0.0279603353908;-0.0353312473302;103;-0.018745398464;-0.0343510808317;103
2009-04-17;-0.0232458871216;-0.0316754305384;90;-0.0256978644353;-0.0336450245752;103;-0.0119946331242;-0.0321053000981;103
2009-04-18;-0.0238140595254;-0.0335591123732;90;-0.0316725249057;-0.040326869247;103;-0.0114764785409;-0.0284824925977;103
2009-04-19;-0.0198802362214;-0.0391928732032;90;-0.0247174795715;-0.0411032706181;103;-0.0125728817651;-0.0299809850387;103
2009-04-20;-0.0231342857483;-0.037747421266;90;-0.0260813268648;-0.0375567444645;103;-0.0178706468172;-0.029324993104;103
2009-04-21;-0.0234316102197;-0.0337280311968;90;-0.0295321478471;-0.0389150611224;103;-0.0235894095268;-0.0321422042498;103
2009-04-22;-0.0217811587139;-0.036181511574;90;-0.0309066870196;-0.0378715577324;103;-0.018573479896;-0.0342884209173;103
2009-04-23;-0.0196022372253;-0.0435525428448;90;-0.0223095027434;-0.0343162224145;103;-0.0226962427815;-0.0358852030044;103
2009-04-24;-0.0205417095814;-0.0434560736924;90;-0.0220903999531;-0.0409523573174;103;-0.0184034922281;-0.0349755417617;103
2009-04-25;-0.0205441196642;-0.0418259398514;90;-0.0195050183077;-0.0332847559221;103;-0.0178101037732;-0.0304567041106;103
2009-04-26;-0.018537096843;-0.0381680252935;90;-0.0159341353337;-0.0343091317847;103;-0.0187169852933;-0.0351677846148;103
2009-04-27;-0.0149703288073;-0.0459488085029;90;-0.0160496412396;-0.0358296599769;103;-0.020321678354;-0.0345121717922;103
2009-04-28;-0.0162142274237;-0.04986473741;90;-0.0219561762214;-0.0346466287347;103;-0.0142995822222;-0.0378199048751;103
2009-04-29;-0.0142275951749;-0.0390693394166;90;-0.0265305170679;-0.0348464094644;103;-0.0151238478355;-0.0360833112907;103
2009-04-30;-0.0155733616951;-0.0495620098732;90;-0.0322778840292;-0.0369784702794;103;-0.0141694659205;-0.0344146687546;103
2009-05-01;-0.0185790913543;-0.0479589108487;90;-0.0226691044543;-0.0331995030585;103;-0.0174470760678;-0.0333496583929;103
2009-05-02;-0.023025801639;-0.0471602458136;90;-0.0233861681065;-0.0324322815536;103;-0.0127263073986;-0.0325962807582;103
2009-05-03;-0.0228182176653;-0.0422679735604;90;-0.0248112162311;-0.0353281068792;103;-0.0173102701481;-0.0340028681682;103
2009-05-04;-0.0147742225543;-0.0445028978749;90;-0.0246509136207;-0.0310920519894;103;-0.018692441031;-0.0336848820571;103
2009-05-05;-0.0161482906414;-0.0424902879421;90;-0.0257068790475;-0.0312389826446;103;-0.0183722992766;-0.0313539961368;103
2009-05-06;-0.0211950313482;-0.0383364435397;90;-0.0266194147437;-0.0305670630527;103;-0.011463968871;-0.0365228782086;103
2009-05-07;-0.0195806439265;-0.0376701271949;103;-0.0173202040246;-0.0328975112101;117;-0.0137489637426;-0.0337957365038;117
2009-05-08;-0.0185159462028;-0.0467338463622;103;-0.0191982538539;-0.0384912652404;117;-0.0173959310465;-0.0338733954712;117
2009-05-09;-0.0165696741703;-0.0530746080743;103;-0.0245291011904;-0.0390249665249;117;-0.0140528134041;-0.0372979261226;117
2009-05-10;-0.016182216058;-0.0555002516488;103;-0.0190940844058;-0.0368366637716;117;-0.00816885792396;-0.0328737677008;117
2009-05-11;-0.0144140442508;-0.0500505123911;103;-0.0189195831969;-0.0375760024109;117;-0.0163396393696;-0.033022442256;117
2009-05-12;-0.0167187502498;-0.0523647387386;103;-0.0180103726168;-0.0396216329373;117;-0.00947752217521;-0.0303776839645;117
2009-05-13;-0.0143304618475;-0.0464448558606;103;-0.0118137337164;-0.043136075137;117;-0.0147874481933;-0.035003860078;117
2009-05-14;-0.0175624424537;-0.0462401149419;103;-0.0158521816839;-0.0448690367408;117;-0.0198485927408;-0.0353156488853;117
2009-05-15;-0.0185507408497;-0.0410120350779;104;-0.0167570776132;-0.0402622725444;118;-0.0163773563345;-0.0291980547645;118
2009-05-16;-0.0156423344863;-0.0388633551634;104;-0.0162444443955;-0.0424311714054;118;-0.0199624031417;-0.0302080110882;118
2009-05-17;-0.00467661411792;-0.046452550858;104;-0.0234609779437;-0.0423476675918;118;-0.0166837381024;-0.0386219027716;118
2009-05-18;-0.0133343959372;-0.0385911075202;104;-0.0276496190915;-0.0441381414901;118;-0.0160018969907;-0.0332177366804;118
2009-05-19;-0.0214470126074;-0.0396378427469;104;-0.0152123550212;-0.0429044533901;118;-0.0150304902933;-0.0319049551539;118
2009-05-20;-0.0115683095258;-0.0362518846129;104;-0.0128059035951;-0.0357732182599;118;-0.0214276667686;-0.027491598881;118
2009-05-21;-0.00733024761885;-0.0398260128816;104;-0.0120675991933;-0.0409082895986;118;-0.0199445440513;-0.0300605108831;118
2009-05-22;-0.0086602753482;-0.0488363427186;104;-0.0146772309595;-0.0486341378025;118;-0.0115203470058;-0.0343923577386;118
2009-05-23;-0.0135101263605;-0.0502871316331;104;-0.0189533967459;-0.0421122886977;118;-0.00943249790953;-0.0301315633922;118
2009-05-24;-0.0169791526887;-0.0536146397192;104;-0.0176780982195;-0.0417186347289;118;-0.0113585266585;-0.0321085922579;118
2009-05-25;-0.0123349634372;-0.0520635566728;104;-0.0197407531582;-0.0455472509344;118;-0.0118663258903;-0.0348918815854;118
2009-05-26;-0.013389630183;-0.0620377745864;104;-0.0196089425537;-0.0414824648648;118;-0.0122608089083;-0.0334157094947;118
2009-05-27;-0.0193403626965;-0.0600367663418;104;-0.0214547124756;-0.0392645597563;118;-0.00935813380865;-0.0282733911114;118
2009-05-28;-0.0093394557164;-0.0552314053104;104;-0.0116367042838;-0.0452077818058;118;-0.00719855901142;-0.0317045073419;118
2009-05-29;-0.013535748599;-0.0516028063538;104;-0.013844462941;-0.0497357041057;118;-0.000293574292571;-0.0295715411902;118
